protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov,bitscore
A0PJY2_PF00096_289,4082271,4087406,0.998743701995838,4082271.0,185557.77272727276,22,21,0.9545454545454546,0.7
A0PJY2_PF00096_289,3092510,3096441,0.9987304779906996,3092510.0,140568.63636363635,22,21,0.9545454545454546,0.9
A0PJY2_PF00096_289,1738850,1740971,0.9987817143421688,18757.11008981274,852.5959131733064,22,21,0.9545454545454546,1.2
A1X283_PF00018_155,514408,514768,0.9993006558294222,14420.975246192294,262.19954993076897,55,49,0.8909090909090909,0.7
A1X283_PF00018_155,33185,33216,0.9990667148362236,721.8820344013982,13.12512789820724,55,52,0.9454545454545454,0.9
A1X283_PF00018_155,17375,17393,0.998965100902662,185.39357929826397,3.3707923508775264,55,53,0.9636363636363636,1.1
A1X283_PF00018_222,503000,503356,0.9992927470815884,14439.386755221492,244.73536873256768,59,50,0.847457627118644,0.7
A1X283_PF00018_222,45557,45592,0.9992323214599051,947.7074667297904,16.06283841914899,59,53,0.8983050847457628,0.9
A1X283_PF00018_222,24127,24147,0.9991717397606328,283.85745184221383,4.811143251562946,59,54,0.9152542372881356,1.1
O00308_PF00397_440,93373,93416,0.9995396934144044,1380.335198965821,25.5617629438115,54,38,0.7037037037037037,0.7
O00308_PF00397_440,71921,71954,0.999541373655391,1318.1048529768705,24.409349129201303,54,39,0.7222222222222222,0.8
O00308_PF00397_440,76150,76176,0.9996586851501784,1314.9857979655542,24.351588851213965,54,39,0.7222222222222222,0.9
O00308_PF00397_440,59926,59958,0.9994662930718168,3660.854017880168,67.79359292370681,54,40,0.7407407407407407,1.0
O00308_PF00397_440,47146,47159,0.9997243368179988,405.507436082996,7.509396964499927,54,38,0.7037037037037037,1.1
O00330_PF02817_181,174292,174577,0.9983674825435196,17841.79664893879,379.6126946582721,47,38,0.8085106382978723,0.7
O00330_PF02817_181,123402,123553,0.9987778524196094,11312.78361912486,240.6975238111672,47,37,0.7872340425531915,0.9
O00330_PF02817_181,1414,1415,0.9992932862190812,18.027366196122028,0.3835609828962134,47,45,0.9574468085106383,1.1
O14901_PF00096_395,4120396,4125273,0.998817775211483,4120396.0,171683.16666666666,24,21,0.875,0.7
O14901_PF00096_395,2701429,2704436,0.9988881230689134,2701429.0,112559.54166666669,24,21,0.875,0.9
O14901_PF00096_395,100762,100808,0.9995436870089676,1645.2165504401505,68.55068960167294,24,21,0.875,1.2
O15151_PF00641_299,51648,51681,0.9993614674638648,5942.75290222014,191.7017065232303,31,25,0.8064516129032258,0.7
O15151_PF00641_299,3746,3749,0.9991997866097626,97.27926999446056,3.138040967563244,31,28,0.9032258064516128,0.9
O15151_PF00641_299,3514,3517,0.9991470002843332,55.3332301452427,1.7849429079110548,31,28,0.9032258064516128,1.1
O15259_PF00018_152,495336,495671,0.9993241484775184,13445.896734529975,224.09827890883292,60,51,0.85,0.7
O15259_PF00018_152,166708,166807,0.9994064997272296,5318.991756302339,88.64986260503899,60,51,0.85,0.9
O15259_PF00018_152,4460,4466,0.9986565158978952,174.79230044712324,2.913205007452054,60,54,0.9,1.1
O15344_PF00643_172,120249,120451,0.9983229695062724,6874.171569779192,159.864455111144,43,37,0.8604651162790697,0.7
O15344_PF00643_172,47719,47775,0.9988278388278388,1366.6719757641367,31.78306920381713,43,37,0.8604651162790697,0.9
O15344_PF00643_172,12394,12408,0.9988716956802064,83.20831599935192,1.935077116263998,43,40,0.9302325581395348,1.1
O15541_PF00642_198,180672,180719,0.9997399277331104,10077.116862352965,403.0846744941185,25,19,0.76,0.7
O15541_PF00642_198,48580,48593,0.9997324717551912,3149.098377157416,125.96393508629664,25,20,0.8,0.9
O15541_PF00642_198,13927,13932,0.9996411139821992,758.7179122448485,30.348716489793944,25,23,0.92,1.1
O43167_PF00096_351,4287206,4292265,0.9988213682053648,4287206.0,194873.0,22,21,0.9545454545454546,0.7
O43167_PF00096_351,3385219,3389014,0.9988802052750446,3385219.0,153873.5909090909,22,21,0.9545454545454546,0.9
O43167_PF00096_351,1304838,1305716,0.9993275719988114,27895.62852531915,1267.983114787234,22,21,0.9545454545454546,1.2
O43167_PF00096_435,3324772,3328681,0.9988256609750228,3324772.0,151126.0,22,21,0.9545454545454546,0.9
O43167_PF00096_435,1902536,1904347,0.9990490178523136,30654.037256144995,1393.3653298247723,22,21,0.9545454545454546,1.2
O43295_PF00018_745,496290,496623,0.9993294712488144,13301.760993897857,229.3407067913423,58,51,0.8793103448275862,0.7
O43295_PF00018_745,318520,318707,0.9994132541801718,7183.129454623433,123.84705956247298,58,51,0.8793103448275862,0.9
O43295_PF00018_745,11179,11184,0.9995529327610873,98.9207480562346,1.7055301389005966,58,58,1.0,1.1
O43586_PF00018_361,539171,539528,0.9993383105232722,14441.300647980628,257.8803687139398,56,51,0.9107142857142856,0.7
O43586_PF00018_361,347521,347729,0.9994018330366464,9005.750391303487,160.81697127327655,56,50,0.8928571428571429,0.9
O43586_PF00018_361,152676,152760,0.9994501178318932,2993.884021284769,53.46221466579944,56,51,0.9107142857142856,1.1
O60281_PF00096_808,4121885,4126823,0.9988034378988389,4121885.0,171745.20833333334,24,21,0.875,0.7
O60281_PF00096_808,2960511,2963887,0.998860955225351,2960511.0,123354.625,24,21,0.875,0.9
O60281_PF00096_808,2007,2007,1.0,99.85969698056591,4.16082070752358,24,24,1.0,1.2
O60293_PF10650_1186,146494,146521,0.9998157260733956,7185.173792117554,378.1670416903976,19,18,0.9473684210526316,0.7
O60293_PF10650_1186,46128,46134,0.9998699440759526,2512.214940489332,132.22183897312274,19,18,0.9473684210526316,0.9
O60293_PF10650_1186,7984,7987,0.999624389633154,571.155549711921,30.06081840589058,19,18,0.9473684210526316,1.1
O60481_PF00096_389,4214276,4219225,0.9988270357707872,4214276.0,191558.0,22,21,0.9545454545454546,0.7
O60481_PF00096_389,3228415,3232327,0.9987897264107252,3228415.0,146746.13636363635,22,21,0.9545454545454546,0.9
O60481_PF00096_389,1728409,1730059,0.9990462753004378,26039.98948897379,1183.635885862445,22,21,0.9545454545454546,1.2
O75382_PF00643_111,16343,16360,0.998960880195599,928.3170754527972,21.098115351199933,44,40,0.9090909090909092,0.9
O75382_PF00643_111,3828,3830,0.9994778067885116,56.67862037680938,1.288150463109304,44,44,1.0,1.1
O75400_PF00397_176,23744,23767,0.999032271637144,1056.3529884018176,20.712803694153287,51,37,0.7254901960784313,0.7
O75400_PF00397_176,25232,25252,0.9992079835260572,939.6502957224774,18.42451560240152,51,38,0.7450980392156863,0.8
O75400_PF00397_176,21298,21317,0.9991086925927664,700.0963217529453,13.727378857900888,51,39,0.7647058823529411,0.9
O75400_PF00397_176,14209,14224,0.99894544431946,749.1263919395551,14.688752783128532,51,36,0.7058823529411765,1.0
O75400_PF00397_176,6177,6188,0.9982223658694248,122.28721894599153,2.397788606784148,51,45,0.8823529411764706,1.1
O75808_PF00641_4,108178,108214,0.9996673258543256,10498.169858885867,388.8211058846617,27,22,0.8148148148148148,0.7
O75808_PF00641_4,38553,38562,0.999766609615684,3246.6847728420576,120.24758417933546,27,22,0.8148148148148148,0.9
O75808_PF00641_4,20589,20592,0.9998543123543124,1444.4359554307275,53.49762797891584,27,24,0.8888888888888888,1.1
O75953_PF00226_4,310281,311002,0.9976816869344892,38774.77981326008,625.3996744074207,62,62,1.0,0.7
O75953_PF00226_4,267598,268205,0.9977368058015323,28732.27075452274,463.42372184714094,62,62,1.0,0.9
O75953_PF00226_4,218477,218981,0.9976984304574368,19072.781742567888,307.6255119769014,62,62,1.0,1.1
O95793_PF00035_183,89971,90135,0.998180507017252,13579.015278964343,202.6718698352887,67,61,0.9104477611940298,0.7
O95793_PF00035_183,13051,13059,0.9993873956658244,242.4428835174826,3.6185505002609344,67,56,0.835820895522388,0.9
O95793_PF00035_183,6008,6013,0.9991684683186428,84.50418775239228,1.2612565336177952,67,67,1.0,1.1
O95817_PF00397_11,110774,110826,0.999530796022594,1799.4738220034567,36.72395555109095,49,36,0.7346938775510204,0.7
