,index,DMS_id,total_number_mutants,estimated_min
0,0,NP_000007.1,87,13.384615384615385
1,1,NP_000008.1,26,4.0
2,2,NP_000009.1,75,11.538461538461538
3,3,NP_000010.1,47,7.230769230769231
4,4,NP_000011.2,165,25.384615384615383
5,5,NP_000012.1,99,15.23076923076923
6,6,NP_000013.2,36,5.538461538461538
7,7,NP_000014.1,37,5.6923076923076925
8,8,NP_000017.1,29,4.461538461538462
9,9,NP_000018.2,14,2.1538461538461537
10,10,NP_000021.1,71,10.923076923076923
11,11,NP_000022.3,3,0.46153846153846156
12,12,NP_000023.2,26,4.0
13,13,NP_000024.2,201,30.923076923076923
14,14,NP_000026.2,10,1.5384615384615385
15,15,NP_000028.3,10,1.5384615384615385
16,16,NP_000030.1,7,1.0769230769230769
17,17,NP_000032.1,8,1.2307692307692308
18,18,NP_000034.1,21,3.230769230769231
19,19,NP_000035.2,113,17.384615384615383
20,20,NP_000036.2,14,2.1538461538461537
21,21,NP_000037.2,70,10.76923076923077
22,22,NP_000038.2,35,5.384615384615385
23,23,NP_000039.2,73,11.23076923076923
24,24,NP_000040.1,44,6.769230769230769
25,25,NP_000041.2,42,6.461538461538462
26,26,NP_000043.4,191,29.384615384615383
27,27,NP_000044.2,198,30.46153846153846
28,28,NP_000045.1,42,6.461538461538462
29,29,NP_000046.1,9,1.3846153846153846
30,30,NP_000048.1,32,4.923076923076923
31,31,NP_000052.1,76,11.692307692307692
32,32,NP_000053.2,49,7.538461538461538
33,33,NP_000055.2,11,1.6923076923076923
34,34,NP_000058.1,4,0.6153846153846154
35,35,NP_000060.2,140,21.53846153846154
36,36,NP_000061.1,80,12.307692307692308
37,37,NP_000062.1,62,9.538461538461538
38,38,NP_000065.1,34,5.230769230769231
39,39,NP_000066.1,4,0.6153846153846154
40,40,NP_000067.1,12,1.8461538461538463
41,41,NP_000068.1,37,5.6923076923076925
42,42,NP_000070.1,11,1.6923076923076923
43,43,NP_000071.1,33,5.076923076923077
44,44,NP_000073.1,6,0.9230769230769231
45,45,NP_000074.3,86,13.23076923076923
46,46,NP_000076.2,35,5.384615384615385
47,47,NP_000078.3,12,1.8461538461538463
48,48,NP_000079.2,338,52.0
49,49,NP_000080.2,344,52.92307692307692
50,50,NP_000081.2,290,44.61538461538461
51,51,NP_000082.2,158,24.307692307692307
52,52,NP_000083.3,139,21.384615384615383
53,53,NP_000084.3,137,21.076923076923077
54,54,NP_000086.2,113,17.384615384615383
55,55,NP_000087.2,20,3.076923076923077
56,56,NP_000088.3,14,2.1538461538461537
57,57,NP_000089.1,38,5.846153846153846
58,58,NP_000092.2,9,1.3846153846153846
59,59,NP_000093.1,32,4.923076923076923
60,60,NP_000095.2,25,3.8461538461538463
61,61,NP_000099.2,10,1.5384615384615385
62,62,NP_000101.2,5,0.7692307692307693
63,63,NP_000102.1,22,3.3846153846153846
64,64,NP_000103.2,23,3.5384615384615383
65,65,NP_000104.1,7,1.0769230769230769
66,66,NP_000107.1,20,3.076923076923077
67,67,NP_000108.1,12,1.8461538461538463
68,68,NP_000110.2,6,0.9230769230769231
69,69,NP_000113.1,7,1.0769230769230769
70,70,NP_000114.3,25,3.8461538461538463
71,71,NP_000115.1,55,8.461538461538462
72,72,NP_000117.1,5,0.7692307692307693
73,73,NP_000118.2,47,7.230769230769231
74,74,NP_000119.1,33,5.076923076923077
75,75,NP_000120.2,12,1.8461538461538463
76,76,NP_000121.2,40,6.153846153846154
77,77,NP_000122.1,29,4.461538461538462
78,78,NP_000124.1,116,17.846153846153847
79,79,NP_000126.2,104,16.0
80,80,NP_000127.2,15,2.3076923076923075
81,81,NP_000128.1,27,4.153846153846154
82,82,NP_000131.2,12,1.8461538461538463
83,83,NP_000132.3,78,12.0
84,84,NP_000134.2,127,19.53846153846154
85,85,NP_000135.2,7,1.0769230769230769
86,86,NP_000136.2,7,1.0769230769230769
87,87,NP_000137.2,4,0.6153846153846154
88,88,NP_000138.2,15,2.3076923076923075
89,89,NP_000142.2,53,8.153846153846153
90,90,NP_000143.2,160,24.615384615384617
91,91,NP_000144.2,89,13.692307692307692
92,92,NP_000147.1,25,3.8461538461538463
93,93,NP_000149.4,31,4.769230769230769
94,94,NP_000150.1,138,21.23076923076923
95,95,NP_000153.1,148,22.76923076923077
96,96,NP_000154.1,11,1.6923076923076923
97,97,NP_000156.1,24,3.6923076923076925
98,98,NP_000157.1,116,17.846153846153847
99,99,NP_000159.3,111,17.076923076923077
