protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov,bitscore
A0PJY2_PF00096_289,3092510,3096441,0.9987304779906996,3092510.0,140568.63636363635,22,21,0.9545454545454546,0.9
HHH-rd1-0142_rockdoms_1,95906,96071,0.9982825202194212,5839.246049062447,135.7964197456383,43,35,0.813953488372093,0.5
O14640_PF00595_246,592066,592516,0.9992405268380938,7029.846916048968,75.58975178547277,93,80,0.8602150537634409,0.5
O14640_PF00595_246,271272,271432,0.9994105337616788,2661.1734555845,28.61476833961828,93,80,0.8602150537634409,0.6
O14901_PF00096_395,2701429,2704436,0.9988881230689134,2701429.0,112559.54166666669,24,21,0.875,0.9
O15350_PF07647_487,60304,60338,0.9994365076734396,1534.3769755637732,24.355190088313854,63,55,0.873015873015873,0.5
O43167_PF00096_351,3385219,3389014,0.9988802052750446,3385219.0,153873.5909090909,22,21,0.9545454545454546,0.9
O43167_PF00096_435,3324772,3328681,0.9988256609750228,3324772.0,151126.0,22,21,0.9545454545454546,0.9
O43353_PF00619_438,5806,5838,0.9945186707776636,728.5634927629119,8.994611021764344,81,72,0.8888888888888888,0.6
O43353_PF00619_438,15279,15348,0.9955043002345584,1613.8722995956723,19.92434937772435,81,71,0.8765432098765432,0.5
O60281_PF00096_808,2960511,2963887,0.998860955225351,2960511.0,123354.625,24,21,0.875,0.9
O60481_PF00096_389,3228415,3232327,0.9987897264107252,3228415.0,146746.13636363635,22,21,0.9545454545454546,0.9
P08151_PF00096_363,1802950,1804453,0.999167060599528,70119.23542463864,2804.7694169855454,25,20,0.8,0.9
P10070_PF00096_565,1732008,1733420,0.9991854253441174,66232.84318540325,2649.31372741613,25,20,0.8,0.9
P10071_PF00096_608,1896064,1897687,0.9991447483172936,74990.98326292705,2999.6393305170823,25,20,0.8,0.9
P16989_PF00313_84,6390,6428,0.9940883634100808,401.3661691786303,4.6670484788212825,86,81,0.9418604651162792,0.9
P25490_PF00096_384,2757965,2760764,0.998986150210594,2757965.0,114915.20833333331,24,21,0.875,0.9
P36075_PF02845_9,14376,14383,0.9995133143294168,1898.738393779161,48.68559984049131,39,33,0.8461538461538461,0.6
P36075_PF02845_9,31180,31197,0.9994550758085712,3404.814532910953,87.30293674130648,39,32,0.8205128205128205,0.5
P37275_PF00096_933,3330443,3334767,0.9987033576858592,3330443.0,151383.77272727274,22,21,0.9545454545454546,0.9
P51508_PF00096_331,3062977,3066886,0.9987254172473315,3062977.0,139226.22727272726,22,21,0.9545454545454546,0.9
P51508_PF00096_555,3025635,3029538,0.9987116847519324,3025635.0,137528.86363636365,22,21,0.9545454545454546,0.9
P57071_PF00096_1085,3338785,3342747,0.9988147472722284,3338785.0,151762.95454545456,22,21,0.9545454545454546,0.9
P67809_PF00313_52,5010,5048,0.992472266244057,154.9190131751505,1.7024067381884669,91,91,1.0,0.9
P82979_PF02037_3,22799,22814,0.9993425089857104,1108.431759859042,24.63181688575649,45,37,0.8222222222222222,0.9
P82979_PF02037_3,33338,33383,0.998652008507324,2418.7045575999173,53.74899016888705,45,37,0.8222222222222222,0.8
Q01826_PF02376_371,12572,12605,0.9973819912733044,90.82427207275704,1.2109902943034274,75,68,0.9066666666666666,0.5
Q01826_PF02376_494,12611,12644,0.9973900664346724,101.92297667414172,1.3773375226235367,74,68,0.918918918918919,0.5
Q13009_PF00595_843,7887,7897,0.9987336963403824,177.34401693006197,2.111238296786452,84,79,0.9404761904761904,0.5
Q13009_PF00595_843,3835,3844,0.9976586888657648,123.47020768438252,1.4698834248140775,84,79,0.9404761904761904,0.6
Q13526_PF00397_1,137069,137126,0.9995843239064802,2261.022934561796,56.525573364044895,40,32,0.8,0.9
Q13526_PF00397_1,173858,173923,0.9996262713959626,3817.27508474549,95.43187711863725,40,32,0.8,0.8
Q14151_PF02037_27,27566,27574,0.999709871618191,1349.1864613116277,30.66332866617336,44,37,0.8409090909090909,0.9
Q15424_PF02037_26,7450,7457,0.9990612846989406,434.3575582473651,7.897410149952092,55,50,0.9090909090909092,0.9
Q5F1R6_PF12171_315,32803,32808,0.9998475981467936,4112.455829377577,164.49823317510308,25,23,0.92,0.9
Q5U5Q3_PF00013_325,256099,256392,0.9988572186339668,12754.868179387418,190.37116685652865,67,58,0.8656716417910447,0.5
Q5U5Q3_PF00013_325,151454,151580,0.9991687557725294,4630.281209303622,69.1086747657257,67,58,0.8656716417910447,0.6
Q5VTD9_PF00096_221,3334194,3338478,0.998716780520944,3334194.0,151554.27272727274,22,21,0.9545454545454546,0.9
Q86XN8_PF00013_273,247948,248242,0.9988156718041268,12869.22740728881,189.25334422483544,68,60,0.8823529411764706,0.5
Q86XN8_PF00013_273,150336,150464,0.9991492981709912,4942.164770191642,72.67889367928885,68,60,0.8823529411764706,0.6
Q8IX12_PF02037_625,8279,8280,0.99987922705314,555.4364859125897,11.108729718251793,50,40,0.8,0.9
Q8NEA6_PF00096_414,2677539,2680225,0.9989978453301496,2677539.0,116414.73913043478,23,21,0.9130434782608696,0.9
Q8NEA6_PF00096_473,2825173,2828512,0.9988195206525552,2825173.0,117715.54166666669,24,21,0.875,0.9
Q8TDD2_PF00096_325,2781214,2784331,0.9988805210300068,2781214.0,115883.91666666669,24,21,0.875,0.9
Q969V6_PF02037_341,27052,27095,0.998412991326813,2019.0560629615688,46.95479216189695,43,35,0.813953488372093,0.9
Q96JY0_PF09011_3,136272,136569,0.9978252751356456,10069.85407864277,145.93991418322855,69,61,0.8840579710144928,0.5
Q96JY0_PF09011_3,10189,10242,0.9948252294473736,941.460386402576,13.64435342612429,69,63,0.9130434782608696,0.6
Q99684_PF00096_256,609456,609891,0.9992867577977048,14912.488641077778,648.3690713512077,23,21,0.9130434782608696,0.9
Q99684_PF00096_313,3307190,3311386,0.9987328568762446,3307190.0,150326.81818181818,22,21,0.9545454545454546,0.9
Q9BRP0_PF00096_215,21707,21723,0.999263453482484,3164.472160479363,137.5857461077984,23,20,0.8695652173913043,0.9
Q9BUJ2_PF02037_1,32040,32077,0.9988465255479004,2247.13097072186,53.50311835052047,42,35,0.8333333333333334,0.9
Q9BUJ2_PF02037_1,37811,37871,0.9984156742626284,3200.347516836296,76.19875040086418,42,34,0.8095238095238095,0.8
Q9BYW2_PF00397_2382,2592,2595,0.998843930635838,208.34218639365668,4.251881354972586,49,46,0.9387755102040816,0.9
Q9H3D4_PF07647_545,130263,130333,0.999462914227402,4464.719027909394,67.64725799862718,66,54,0.8181818181818182,0.5
Q9H3D4_PF07647_545,6302,6303,0.9998413453910836,82.58026728889902,1.251216171043925,66,59,0.8939393939393939,0.6
Q9H9D4_PF00096_383,3344761,3348831,0.9987846505243172,3344761.0,159274.33333333334,21,21,1.0,0.9
Q9HAZ2_PF00096_282,3318437,3322700,0.9987170072531376,3318437.0,150838.04545454544,22,21,0.9545454545454546,0.9
Q9HC78_PF00096_635,3398076,3402282,0.998763770904352,3398076.0,154458.0,22,21,0.9545454545454546,0.9
Q9HC78_PF00096_663,3449033,3453083,0.9988271350558328,3449033.0,156774.22727272726,22,21,0.9545454545454546,0.9
Q9HC78_PF00096_716,3283893,3287452,0.998917398641866,3283893.0,149267.86363636365,22,21,0.9545454545454546,0.9
Q9NQV8_PF00096_668,3354555,3358265,0.9988952628812796,3354555.0,159740.7142857143,21,21,1.0,0.9
