protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov,bitscore
A0PJY2_PF00096_289,1738850,1740971,0.9987817143421688,18757.11008981274,852.5959131733064,22,21,0.9545454545454546,1.2
A1X283_PF00018_155,33185,33216,0.9990667148362236,730.0272178605524,13.273222142919131,55,53,0.9636363636363636,0.9
A1X283_PF00018_222,45557,45592,0.9992323214599051,960.3808931892966,16.277642257445706,59,54,0.9152542372881356,0.9
O00330_PF02817_181,123397,123553,0.9987373839566824,13222.085842724116,281.3209753771088,47,40,0.851063829787234,0.9
O14901_PF00096_395,100762,100808,0.9995436870089676,2105.0468107704564,87.71028378210235,24,23,0.9583333333333334,1.2
O15151_PF00641_299,51648,51681,0.9993614674638648,5626.281693124572,181.4929578427281,31,26,0.8387096774193549,0.7
O15259_PF00018_152,166704,166807,0.9993825199182288,5487.252953842831,91.45421589738052,60,53,0.8833333333333333,0.9
O15344_PF00643_172,120249,120451,0.9983229695062724,7097.818872438422,165.06555517298656,43,39,0.9069767441860463,0.7
O15541_PF00642_198,48579,48593,0.9997118926594364,2971.6542204108064,118.86616881643224,25,23,0.92,0.9
O43167_PF00096_351,1304838,1305716,0.9993275719988114,27895.62852531915,1267.983114787234,22,21,0.9545454545454546,1.2
O43167_PF00096_435,1902536,1904347,0.9990490178523136,30654.037256144995,1393.3653298247723,22,21,0.9545454545454546,1.2
O43295_PF00018_745,318520,318707,0.9994132541801718,7420.654442963199,127.94231798212412,58,53,0.913793103448276,0.9
O43586_PF00018_361,347519,347729,0.9993960814312296,8396.207093193527,149.93226952131295,56,51,0.9107142857142856,0.9
O60281_PF00096_808,2007,2007,1.0,99.85969698056591,4.16082070752358,24,24,1.0,1.2
O60293_PF10650_1186,46128,46134,0.9998699440759526,2512.214940489332,132.22183897312274,19,18,0.9473684210526316,0.9
O60481_PF00096_389,1728409,1730059,0.9990462753004378,26039.98948897379,1183.635885862445,22,21,0.9545454545454546,1.2
O75382_PF00643_111,111277,111436,0.9985731720449406,7000.78959622212,159.10885445959363,44,40,0.9090909090909092,0.7
O75808_PF00641_4,38553,38562,0.999766609615684,3504.945486023972,129.81279577866565,27,25,0.925925925925926,0.9
O75953_PF00226_4,218477,218981,0.9976984304574368,19072.781742567888,307.6255119769014,62,62,1.0,1.1
O95793_PF00035_183,89965,90135,0.99811394020081,13861.61650337312,206.88979855780772,67,67,1.0,0.7
P00519_PF00018_64,449371,449663,0.99935062480124,13071.7624750586,229.32916622909823,57,52,0.912280701754386,0.7
P02549_PF00018_979,232596,232726,0.9994414031951736,6427.361994255754,110.81658610785784,58,54,0.9310344827586208,0.9
P06239_PF00018_63,109303,109382,0.9992777605090416,3444.3704524158334,59.3856974554454,58,53,0.913793103448276,0.9
P06241_PF00018_83,450829,451125,0.9993438625658077,12710.451705248955,208.3680607417862,61,54,0.8852459016393442,0.7
P07751_PF00018_968,190724,190820,0.999496908080914,5160.142949734412,87.4600499954985,59,54,0.9152542372881356,0.9
P08151_PF00096_363,23185,23194,0.9996119686125722,374.668369459446,14.98673477837784,25,25,1.0,1.2
P08631_PF00018_80,468266,468567,0.9993576158799062,13473.79930962082,232.3068846486348,58,52,0.896551724137931,0.7
P0A9X9_PF00313_3,121466,121807,0.9972004892986446,11921.170824765804,175.31133565832064,68,63,0.9264705882352942,0.7
P10070_PF00096_565,23326,23335,0.9996143132633384,377.4762972457379,15.099051889829516,25,25,1.0,1.2
P10071_PF00096_608,23838,23847,0.9996225940369858,434.0313932005092,17.361255728020367,25,24,0.96,1.2
P10242_PF00249_40,95150,95218,0.9992858493142052,5973.231381581818,127.09002939535785,47,47,1.0,0.9
P11182_PF02817_171,74326,74400,0.999005376344086,5335.916463320304,121.27082871182508,44,38,0.8636363636363636,1.1
P11961_PF02817_126,76497,76595,0.9987205431163914,6506.939940255631,135.56124875532564,48,42,0.875,1.1
P12931_PF00018_87,115218,115299,0.999297478729217,3447.00447758397,60.473762764631054,57,53,0.9298245614035088,0.9
P14598_PF00018_157,393374,393661,0.9992709463218352,11788.478018264805,178.61330330704246,66,56,0.8484848484848485,0.7
P15498_PF00018_782,241990,242143,0.999368141965698,5969.35478429125,97.85827515231558,61,52,0.8524590163934426,0.9
P16885_PF00018_772,284571,284743,0.9993959465201954,6911.19737836664,123.41423889940428,56,51,0.9107142857142856,0.9
P19878_PF00018_241,508871,509217,0.999320525434147,13963.378688598972,232.7229781433162,60,53,0.8833333333333333,0.7
P19878_PF00018_456,304840,305035,0.9993607290966612,7031.247254090246,119.17368227271604,59,52,0.8813559322033898,0.9
P20929_PF14604_6609,248683,248836,0.9993851371987976,6431.063447356723,105.42726962879874,61,54,0.8852459016393442,0.9
P25490_PF00096_384,1540038,1541340,0.9991552804702402,18564.81436715197,773.5339319646655,24,22,0.9166666666666666,1.2
P25685_PF00226_4,219045,219543,0.9977316516582172,19210.471816605404,309.8463196226678,62,62,1.0,1.1
P26651_PF00642_105,40539,40555,0.9996054740475896,3578.9078862831216,143.15631545132487,25,25,1.0,0.9
P32081_PF00313_1,98344,98643,0.9969688675324148,8449.200170725697,126.1074652347119,67,64,0.9552238805970148,0.9
P35251_PF00533_405,93502,93707,0.9978123299219908,11154.581037814292,148.72774717085724,75,71,0.9466666666666668,0.9
P41016_PF00313_1,120197,120537,0.9971792893468396,11276.78491800873,170.86037754558683,66,64,0.9696969696969696,0.7
P46937_PF00397_162,47513,47532,0.9996002692922664,2458.008538211136,49.16017076422271,50,37,0.74,1.0
P47974_PF00642_193,49235,49252,0.9996548363518232,4361.128787075126,181.7136994614636,24,24,1.0,0.9
P49792_PF00641_1414,80559,80591,0.9996029333300244,7176.707643927821,239.22358813092737,30,26,0.8666666666666667,0.7
P49792_PF00641_1478,72710,72745,0.9995188672761014,5972.529774901722,192.66225080328132,31,27,0.8709677419354839,0.7
P51451_PF00018_59,467734,468032,0.9993632913988788,13376.234202666445,226.71583394349904,59,52,0.8813559322033898,0.7
P51508_PF00096_331,1761301,1763322,0.9988538678698502,19381.43278922349,880.9742176919771,22,21,0.9545454545454546,1.2
P51508_PF00096_555,1733742,1735744,0.998846604107518,18590.950631929,845.0432105422271,22,21,0.9545454545454546,1.2
P53804_PF13639_1957,128064,128133,0.9994614970382336,11887.717503761744,289.94432936004256,41,40,0.975609756097561,1.1
P57071_PF00096_1085,1809142,1810748,0.9991130737131836,30877.17663353704,1403.508028797138,22,21,0.9545454545454546,1.2
P62993_PF00018_159,334910,335104,0.9994210752482812,8150.888973910591,145.55158881983198,56,51,0.9107142857142856,0.9
P78563_PF00035_80,107517,107710,0.9982081515179648,13847.953567713195,227.01563225759332,61,60,0.9836065573770492,0.7
P98175_PF00641_216,39114,39142,0.9992846558683768,2485.9306656291587,95.6127179088138,26,25,0.9615384615384616,0.9
Q00987_PF00641_299,3873,3876,0.9992260061919505,135.93529595765511,4.687423998539831,29,29,1.0,0.9
Q06187_PF00018_215,489382,489705,0.9993404192319866,13620.259257765225,230.8518518265292,59,52,0.8813559322033898,0.7
Q08881_PF00018_172,107704,107783,0.9992670458235527,3650.8299159307594,61.87847315136879,59,54,0.9152542372881356,0.9
Q12929_PF00018_533,493663,493991,0.9993360202918676,14287.992534512716,246.3446988709089,58,52,0.896551724137931,0.7
Q12965_PF00018_1051,323309,323509,0.9993817791777044,7473.677826895399,128.85651425681723,58,52,0.896551724137931,0.9
Q15811_PF00018_1003,330256,330459,0.9993857029162468,7986.567710710883,140.11522299492776,57,51,0.8947368421052632,0.9
Q15811_PF00018_1156,322597,322783,0.9994237614744272,7371.577896785376,127.09617063423062,58,53,0.913793103448276,0.9
Q15811_PF00018_909,457481,457804,0.9992944578902762,12653.896611044102,200.8555017626048,63,53,0.8412698412698413,0.7
Q15811_PF07653_1003,330256,330459,0.9993857029162468,7986.567710710883,140.11522299492776,57,51,0.8947368421052632,0.9
Q2Q1W2_PF00643_274,117764,117935,0.9985500487556704,7192.401358241794,167.26514786608823,43,39,0.9069767441860463,0.7
Q5F1R6_PF12171_315,32803,32808,0.9998475981467936,4294.086850062259,171.76347400249037,25,25,1.0,0.9
Q5HYK7_PF00018_664,332252,332451,0.9994014155469528,7724.728561223322,137.94158145041646,56,51,0.9107142857142856,0.9
Q5VTD9_PF00096_221,1957619,1959971,0.9987999822446352,31289.45668719094,1422.248031235952,22,22,1.0,1.2
Q5VVJ2_PF00249_120,119185,119239,0.9995471280369678,7577.634372202839,176.22405516750788,43,43,1.0,0.7
Q6XZF7_PF00018_146,284173,284345,0.9993951010216462,7042.043262732332,115.44333217593986,61,54,0.8852459016393442,0.9
Q6XZF7_PF00018_1516,430111,430387,0.9993587166898628,12066.87526691074,204.5233096086566,59,51,0.864406779661017,0.7
Q6XZF7_PF00018_242,457935,458252,0.9993082408805636,12701.784318043718,201.615624095932,63,53,0.8412698412698413,0.7
Q6XZF7_PF14604_147,307323,307520,0.9993593912591052,7435.921569358712,126.03256897218156,59,54,0.9152542372881356,0.9
Q6ZN01_PF02037_170,49287,49356,0.9986019936785802,5577.681908834895,159.36234025242555,35,32,0.9142857142857144,0.7
Q6ZSG1_PF13639_293,127150,127226,0.9994026378256016,11217.538505003216,260.8729884884469,43,43,1.0,1.1
Q6ZWJ1_PF00397_493,168218,168284,0.999607805852012,2547.037351116668,55.37037719818843,46,35,0.7608695652173914,0.7
Q7Z6B7_PF00018_744,313529,313711,0.9994198482042388,7401.582486389193,127.61349114464126,58,53,0.913793103448276,0.9
Q7Z6W7_PF00226_3,207645,208129,0.9976745191684004,17741.30242912485,277.2078504550758,64,63,0.984375,1.1
Q86WN1_PF14604_467,383033,383285,0.9993425257967308,11494.47384446701,185.39473942688724,62,54,0.8709677419354839,0.7
Q8IWR0_PF00642_906,43904,43918,0.999681224099458,3342.936452471412,159.1874501176863,21,21,1.0,1.1
Q8IZT6_PF00612_1877,121628,121650,0.9998191533086724,2989.7073268250683,157.35301720131935,19,18,0.9473684210526316,0.9
Q8N157_PF00018_1053,307214,307394,0.9994144322921072,7870.799006970953,138.08419310475355,57,52,0.912280701754386,0.9
Q8NEA6_PF00096_414,244316,244421,0.999570413344189,5428.710545446045,236.03089328026283,23,23,1.0,1.2
Q8NEA6_PF00096_473,33128,33136,0.9997585707387736,1008.898813965472,42.03745058189467,24,23,0.9583333333333334,1.2
