protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov
O75400_PF00397_176,25232,25252,0.9992079835260573,939.6502957224774,18.424515602401517,51,38,0.7450980392156863
P39940_PF00397_324,160272,160349,0.9995197974418301,2193.4567154015285,51.01062128840764,43,33,0.7674418604651163
P46937_PF00397_165,149699,149767,0.9995459613933644,1920.3596554906148,41.74694903240467,46,34,0.7391304347826086
P82979_PF02037_3,33338,33383,0.998652008507324,2418.7045575999173,53.74899016888705,45,37,0.8222222222222222
Q14151_PF02037_27,35883,35931,0.9986641062035568,2832.3965180835667,64.37264813826287,44,34,0.7727272727272727
Q15424_PF02037_26,16471,16479,0.9995145336488864,966.6615413137506,17.57566438752274,55,41,0.7454545454545455
Q5TCQ9_PF00397_287,156142,156217,0.9995198986025848,2111.48643176605,49.10433562246628,43,33,0.7674418604651163
Q8IX12_PF02037_625,20092,20096,0.9998009554140127,1190.9706621234493,23.819413242468986,50,37,0.74
Q8IZQ8_PF02037_363,33213,33267,0.998376769771846,2697.519458260252,61.30726041500573,44,33,0.75
Q969V6_PF02037_341,31721,31766,0.9985833910470314,2546.1673655711875,59.21319454816715,43,34,0.7906976744186046
Q96QZ7_PF00397_294,147325,147394,0.9995318669688047,1830.076803621605,39.78427833960011,46,34,0.7391304347826086
Q9BUJ2_PF02037_1,37811,37871,0.9984156742626284,3200.3475168362957,76.19875040086418,42,34,0.8095238095238095
Q9NWH9_PF02037_19,25511,25533,0.9991383699526103,1431.5021850952871,28.63004370190574,50,39,0.78
Q9P2R6_PF00320_502,10409,10413,0.9996158647844041,277.95135683321473,6.6178894484098745,42,39,0.9285714285714286
Q9UIF8_PF00628_1927,109738,109792,0.9995081608860391,3095.5271213776387,55.27727002460069,56,47,0.8392857142857143
Q9UKL0_PF00249_383,17924,17928,0.999776885319054,326.36883293080564,5.099513014543838,64,60,0.9375
Q9Y2T7_PF00313_86,17238,17315,0.9955529887380884,1540.297951501775,16.742369038062773,92,66,0.717391304347826
