protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov
A1X283_PF00018_155,33185,33216,0.9990667148362236,730.0272178605524,13.273222142919133,55,53,0.9636363636363636
A1X283_PF00018_222,45557,45592,0.9992323214599053,960.3808931892966,16.277642257445706,59,54,0.9152542372881356
O00330_PF02817_181,123397,123553,0.9987373839566825,13222.085842724115,281.3209753771088,47,40,0.851063829787234
O15151_PF00641_299,3746,3749,0.9991997866097626,100.7050672525939,3.2485505565352875,31,30,0.967741935483871
O15259_PF00018_152,166704,166807,0.9993825199182289,5487.252953842831,91.45421589738051,60,53,0.8833333333333333
O15344_PF00643_172,47718,47775,0.998806907378336,1459.5316257174165,33.94259594691666,43,39,0.9069767441860465
O15541_PF00642_198,48579,48593,0.9997118926594365,2971.6542204108064,118.86616881643225,25,23,0.92
O43295_PF00018_745,318520,318707,0.9994132541801718,7420.6544429631995,127.94231798212412,58,53,0.9137931034482759
O43586_PF00018_361,347519,347729,0.9993960814312295,8396.207093193527,149.93226952131297,56,51,0.9107142857142857
O60293_PF10650_1186,46128,46134,0.9998699440759526,2512.214940489332,132.22183897312274,19,18,0.9473684210526315
O75382_PF00643_111,16343,16360,0.998960880195599,921.9701173956869,20.95386630444743,44,43,0.9772727272727273
O75808_PF00641_4,38553,38562,0.9997666096156839,3504.945486023972,129.81279577866565,27,25,0.9259259259259259
O75953_PF00226_4,267598,268205,0.9977368058015325,28732.27075452274,463.42372184714094,62,62,1.0
O95793_PF00035_183,13049,13059,0.9992342445822804,231.2913646774842,3.4521099205594656,67,67,1.0
P00519_PF00018_64,36167,36200,0.9990883977900552,1206.64858190969,21.169273366836666,57,55,0.9649122807017544
P02549_PF00018_979,232596,232726,0.9994414031951737,6427.361994255754,110.81658610785783,58,54,0.9310344827586207
P06239_PF00018_63,109303,109382,0.9992777605090417,3444.3704524158334,59.3856974554454,58,53,0.9137931034482759
P06241_PF00018_83,32639,32673,0.9989593854252747,1295.759097951889,21.241952425440804,61,60,0.9836065573770492
P07751_PF00018_968,190724,190820,0.999496908080914,5160.142949734412,87.4600499954985,59,54,0.9152542372881356
P08631_PF00018_80,95263,95337,0.9992238060773886,2997.3641634019236,51.67869247244696,58,53,0.9137931034482759
P0A9X9_PF00313_3,96533,96828,0.9969533605981741,8319.474742915912,122.34521680758695,68,63,0.9264705882352942
P10242_PF00249_40,95150,95218,0.9992858493142053,5973.231381581818,127.09002939535783,47,47,1.0
P11182_PF02817_171,154303,154526,0.9985568771598307,14375.563184491079,326.71734510206994,44,38,0.8636363636363636
P11961_PF02817_126,151940,152168,0.9985016560643499,16622.429538672164,346.30061538900344,48,42,0.875
P12931_PF00018_87,115218,115299,0.999297478729217,3447.00447758397,60.473762764631054,57,53,0.9298245614035088
P14598_PF00018_157,23443,23468,0.9989347196182035,346.7455589868676,5.253720590710115,66,61,0.9242424242424242
P15498_PF00018_782,241990,242143,0.999368141965698,5969.35478429125,97.85827515231558,61,52,0.8524590163934426
P16885_PF00018_772,284571,284743,0.9993959465201954,6911.19737836664,123.41423889940428,56,51,0.9107142857142857
P19878_PF00018_241,25001,25014,0.9994802910370193,384.635251190537,6.4105875198422835,60,55,0.9166666666666666
P19878_PF00018_456,304840,305035,0.9993607290966611,7031.247254090246,119.17368227271604,59,52,0.8813559322033898
P20929_PF14604_6609,248683,248836,0.9993851371987976,6431.063447356723,105.42726962879874,61,54,0.8852459016393442
P25685_PF00226_4,268133,268745,0.9977227483302015,29077.96138371932,468.9993771567632,62,62,1.0
P26651_PF00642_105,40539,40555,0.9996054740475897,3578.9078862831216,143.15631545132487,25,25,1.0
P32081_PF00313_1,98344,98643,0.9969688675324149,8449.200170725697,126.1074652347119,67,64,0.9552238805970149
P35251_PF00533_405,93502,93707,0.9978123299219909,11154.581037814292,148.72774717085724,75,71,0.9466666666666667
P41016_PF00313_1,99550,99847,0.9970254489368734,8422.694185928083,127.61657857466793,66,64,0.9696969696969697
P47974_PF00642_193,49235,49252,0.9996548363518233,4361.128787075126,181.71369946146356,24,24,1.0
P49792_PF00641_1414,28004,28027,0.9991793627573411,1553.3885135451517,51.77961711817172,30,29,0.9666666666666667
P49792_PF00641_1478,27469,27492,0.9991633929870508,1309.6593333427234,42.24707526912011,31,28,0.9032258064516129
P51451_PF00018_59,72915,72972,0.9992188784739352,2374.3846261774033,40.24380722334582,59,53,0.8983050847457628
P53804_PF13639_1957,173209,173313,0.999399929607127,18018.637637158583,439.47896675996543,41,41,1.0
P62993_PF00018_159,334910,335104,0.9994210752482812,8150.888973910591,145.55158881983198,56,51,0.9107142857142857
P78563_PF00035_80,22339,22359,0.9991055056129523,383.950513376449,6.294270711089328,61,60,0.9836065573770492
P98175_PF00641_216,39114,39142,0.9992846558683767,2485.9306656291587,95.61271790881379,26,25,0.9615384615384616
Q00987_PF00641_299,3873,3876,0.9992260061919505,135.93529595765511,4.687423998539831,29,29,1.0
Q06187_PF00018_215,85437,85505,0.9992047248698906,3169.2233425945815,53.715649874484434,59,54,0.9152542372881356
Q08881_PF00018_172,107704,107783,0.9992670458235529,3650.8299159307585,61.87847315136879,59,54,0.9152542372881356
Q12929_PF00018_533,70277,70338,0.9991327589638602,2725.2156763585435,46.98647717859558,58,53,0.9137931034482759
Q12965_PF00018_1051,323309,323509,0.9993817791777044,7473.677826895399,128.85651425681723,58,52,0.896551724137931
Q15811_PF00018_1003,330256,330459,0.9993857029162468,7986.567710710883,140.11522299492776,57,51,0.8947368421052632
Q15811_PF00018_1156,322597,322783,0.9994237614744271,7371.577896785376,127.09617063423062,58,53,0.9137931034482759
Q15811_PF00018_909,193982,194108,0.9993508768314546,5418.290802546995,86.00461591344437,63,54,0.8571428571428571
Q15811_PF07653_1003,330256,330459,0.9993857029162468,7986.567710710883,140.11522299492776,57,51,0.8947368421052632
Q2Q1W2_PF00643_274,17500,17512,0.9993147555961627,1174.0459354663565,27.303393848054803,43,40,0.9302325581395349
Q5F1R6_PF12171_315,32803,32808,0.9998475981467935,4294.086850062259,171.76347400249037,25,25,1.0
Q5HYK7_PF00018_664,332252,332451,0.9994014155469528,7724.728561223322,137.94158145041646,56,51,0.9107142857142857
Q5VVJ2_PF00249_120,24310,24330,0.9991779695848746,1100.8548819916177,25.601276325386458,43,43,1.0
Q6XZF7_PF00018_146,284173,284345,0.9993951010216462,7042.043262732332,115.44333217593986,61,54,0.8852459016393442
Q6XZF7_PF00018_1516,5721,5721,1.0,187.78402295990912,3.1827800501679513,59,58,0.9830508474576272
Q6XZF7_PF00018_242,257149,257317,0.9993471088190831,6114.795481678183,97.06024574092353,63,53,0.8412698412698413
Q6XZF7_PF14604_147,307323,307520,0.9993593912591051,7435.921569358712,126.03256897218156,59,54,0.9152542372881356
Q6ZN01_PF02037_170,38709,38768,0.9984781262897234,3304.235046023132,94.40671560066092,35,33,0.9428571428571428
Q6ZSG1_PF13639_293,161903,162006,0.9993642210782316,16984.483489720496,394.9879881330348,43,42,0.9767441860465116
Q6ZWJ1_PF00397_493,132128,132181,0.9995990346570234,1665.9559678002065,36.21643408261318,46,36,0.782608695652174
Q7Z6B7_PF00018_744,313529,313711,0.9994198482042389,7401.582486389193,127.61349114464126,58,53,0.9137931034482759
Q7Z6W7_PF00226_3,260659,261258,0.9977072472421897,28305.31026386079,442.2704728728248,64,63,0.984375
Q86WN1_PF14604_467,20639,20650,0.9994673123486683,251.36998684407172,4.054354626517286,62,55,0.8870967741935484
Q8IWR0_PF00642_906,148252,148287,0.999763971217976,8929.68961386575,425.22331494598814,21,20,0.9523809523809523
Q8IZT6_PF00612_1877,121628,121650,0.9998191533086724,2989.7073268250683,157.35301720131937,19,18,0.9473684210526315
Q8N157_PF00018_1053,307214,307394,0.9994144322921072,7870.799006970953,138.08419310475355,57,52,0.9122807017543859
Q8NEZ5_PF00646_25,1166,1167,0.9991431019708654,140.58282481983707,3.5145706204959266,40,39,0.975
Q8TAQ2_PF00249_599,20370,20377,0.9996564754379939,1203.7569936409236,27.994348689323804,43,43,1.0
Q8TAT5_PF00641_316,41896,41908,0.9997136584900258,3658.530916422152,121.95103054740507,30,26,0.8666666666666667
Q8WU90_PF18044_104,127805,127837,0.9997496812346973,8322.65970236489,396.31712868404236,21,20,0.9523809523809523
Q92922_PF00249_620,18601,18607,0.9996775407104853,1066.2691279881592,24.233389272458165,44,43,0.9772727272727273
Q96DX7_PF00643_174,78816,79012,0.9975193641472181,4032.955622662482,89.62123605916626,45,43,0.9555555555555556
Q96GE6_PF13499_123,75025,75249,0.9970232162553655,6759.197958148513,97.95939069780454,69,66,0.9565217391304348
Q96GE6_PF13499_48,53993,54187,0.9964198054884013,5051.472034047395,66.4667372900973,76,73,0.9605263157894737
Q96GM8_PF00642_298,61619,61634,0.9997566278352857,3997.095398415127,173.7867564528316,23,21,0.9130434782608695
Q96K80_PF00642_138,132939,132971,0.999759346022817,7917.71046189624,359.8959300861927,22,20,0.9090909090909091
Q99615_PF00226_382,240444,240987,0.997746766423085,24424.48218285836,364.54451019191583,67,62,0.9253731343283582
Q9BV68_PF14369_11,7554,7561,0.9990741965348499,919.1605815616614,30.63868605205538,30,30,1.0
Q9BY11_PF14604_387,237070,237214,0.9993929531983778,6528.510295416711,112.56052233477088,58,53,0.9137931034482759
Q9H000_PF00642_37,123254,123274,0.9998377597871408,5892.630838573289,310.13846518806787,19,19,1.0
Q9H0A6_PF00612_189,103292,103313,0.9997967341960837,3104.521669113074,163.39587732174073,19,17,0.8947368421052632
Q9H2P0_PF00046_770,25951,25977,0.9989991146013781,339.52072080417724,8.280993190345786,41,40,0.975609756097561
Q9H3Z4_PF00226_16,261271,261873,0.9977011757607696,28757.668064086392,463.83335587236115,62,61,0.9838709677419355
Q9HA38_PF12171_246,71618,71637,0.9997347739296732,3248.499836504887,124.94230140403411,26,26,1.0
Q9HAU4_PF00397_150,74609,74646,0.9995043270905339,1173.5218619511365,23.949425754104826,49,37,0.7551020408163265
Q9NPB3_PF13499_155,82129,82352,0.9972921119098503,7185.120787321763,110.5403198049502,65,62,0.9538461538461539
Q9NQ86_PF00643_208,46294,46357,0.9986409819444744,1518.9649662147358,33.75477702699413,45,43,0.9555555555555556
Q9NZM3_PF14604_1129,354656,354866,0.9994082273308799,8188.43715985195,148.8806756336718,55,51,0.9272727272727272
Q9UBF6_PF12678_48,6097,6111,0.997709049255441,350.3064773663941,6.25547281011418,56,55,0.9821428571428571
Q9UBS4_PF00226_25,263456,264060,0.9977126410664243,28912.873428510196,458.9344988652412,63,63,1.0
Q9UHC7_PF00642_89,136869,136902,0.9997589516588509,7980.572185489158,362.7532811585981,22,20,0.9090909090909091
Q9UJV3_PF00643_191,30315,30346,0.998978448559942,803.1480391973511,17.847734204385578,45,41,0.9111111111111111
