protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov,bitscore
A1X283_PF00018_155,514408,514768,0.9993006558294222,514408.0,9352.872727272726,55,51,0.9272727272727272,0.7
A1X283_PF00018_222,503000,503356,0.9992927470815884,503000.0,8525.42372881356,59,51,0.864406779661017,0.7
O00330_PF02817_181,174292,174577,0.9983674825435196,19257.990191381585,409.744472157055,47,39,0.8297872340425532,0.7
O15151_PF00641_299,51648,51681,0.9993614674638648,5626.281693124572,181.4929578427281,31,26,0.8387096774193549,0.7
O15259_PF00018_152,495333,495671,0.9993180960758244,13913.282014838183,231.8880335806364,60,53,0.8833333333333333,0.7
O15344_PF00643_172,120249,120451,0.9983229695062724,7097.818872438422,165.06555517298656,43,39,0.9069767441860463,0.7
O15541_PF00642_198,180671,180719,0.9997343942806236,10687.86636941396,427.5146547765584,25,21,0.84,0.7
O43295_PF00018_745,496290,496623,0.9993294712488144,13301.760993897857,229.3407067913423,58,51,0.8793103448275862,0.7
O43586_PF00018_361,539171,539528,0.9993383105232722,539171.0,9628.05357142857,56,51,0.9107142857142856,0.7
O60293_PF10650_1186,146494,146521,0.9998157260733956,7185.173792117554,378.1670416903976,19,18,0.9473684210526316,0.7
O75382_PF00643_111,111277,111436,0.9985731720449406,7000.78959622212,159.10885445959363,44,40,0.9090909090909092,0.7
O75808_PF00641_4,108178,108214,0.9996673258543256,11324.994391703953,419.444236729776,27,24,0.8888888888888888,0.7
O75953_PF00226_4,310281,311002,0.9976816869344892,38774.77981326008,625.3996744074207,62,62,1.0,0.7
O95793_PF00035_183,89965,90135,0.99811394020081,13861.61650337312,206.88979855780772,67,67,1.0,0.7
P00519_PF00018_64,449371,449663,0.99935062480124,13071.7624750586,229.32916622909823,57,52,0.912280701754386,0.7
P02549_PF00018_979,515500,515842,0.9993370062926245,13951.939299328376,240.55067757462717,58,52,0.896551724137931,0.7
P06239_PF00018_63,511861,512197,0.9993440024053244,14228.561873979266,245.3200323099873,58,52,0.896551724137931,0.7
P06241_PF00018_83,450829,451125,0.9993438625658077,12710.451705248955,208.3680607417862,61,54,0.8852459016393442,0.7
P07751_PF00018_968,515708,516038,0.9993605122103412,13524.390198963889,229.22695252481168,59,52,0.8813559322033898,0.7
P08631_PF00018_80,468266,468567,0.9993576158799062,13473.79930962082,232.3068846486348,58,52,0.896551724137931,0.7
P0A9X9_PF00313_3,121466,121807,0.9972004892986446,11921.170824765804,175.31133565832064,68,63,0.9264705882352942,0.7
P10242_PF00249_40,170790,170938,0.9991341890042004,10891.464392333568,231.7332849432674,47,47,1.0,0.7
P11182_PF02817_171,176147,176429,0.9984016233158948,17475.57963334433,397.1722643941893,44,38,0.8636363636363636,0.7
P11961_PF02817_126,171172,171441,0.9984309470896692,19301.623571998884,402.1171577499768,48,42,0.875,0.7
P12931_PF00018_87,490510,490836,0.9993358270379517,13921.94507241985,244.24465039333072,57,52,0.912280701754386,0.7
P14598_PF00018_157,393374,393661,0.9992709463218352,11788.478018264805,178.61330330704246,66,56,0.8484848484848485,0.7
P15498_PF00018_782,486472,486792,0.9993426350474124,12473.3779602478,204.48160590570168,61,52,0.8524590163934426,0.7
P16885_PF00018_772,491321,491657,0.9993165967330884,13802.766925547989,246.4779808133569,56,52,0.9285714285714286,0.7
P19878_PF00018_241,508871,509217,0.999320525434147,13963.378688598972,232.7229781433162,60,53,0.8833333333333333,0.7
P19878_PF00018_456,498337,498671,0.9993302197240264,13215.458265460584,223.990818058654,59,52,0.8813559322033898,0.7
P20929_PF14604_6609,472263,472579,0.9993313287302228,13199.746554470868,216.38928777821093,61,53,0.8688524590163934,0.7
P25685_PF00226_4,310949,311670,0.9976866557576924,38962.025487708495,628.4197659307822,62,62,1.0,0.7
P26651_PF00642_105,170975,171022,0.9997251815555892,11775.26287809643,471.0105151238572,25,23,0.92,0.7
P32081_PF00313_1,121063,121416,0.9970926401792184,11952.231904572924,178.391520963775,67,64,0.9552238805970148,0.7
P35251_PF00533_405,98756,98989,0.9976462031134772,12769.36414432903,170.25818859105374,75,71,0.9466666666666668,0.7
P41016_PF00313_1,120197,120537,0.9971792893468396,11276.78491800873,170.86037754558683,66,64,0.9696969696969696,0.7
P47974_PF00642_193,171207,171251,0.9997430671937684,11402.581643868436,475.10756849451815,24,22,0.9166666666666666,0.7
P49792_PF00641_1414,80559,80591,0.9996029333300244,7176.707643927821,239.22358813092737,30,26,0.8666666666666667,0.7
P49792_PF00641_1478,72710,72745,0.9995188672761014,5972.529774901722,192.66225080328132,31,27,0.8709677419354839,0.7
P51451_PF00018_59,467734,468032,0.9993632913988788,13376.234202666445,226.71583394349904,59,52,0.8813559322033898,0.7
P53804_PF13639_1957,399162,399522,0.9990989232132398,39030.5011364415,951.9634423522316,41,41,1.0,0.7
P62993_PF00018_159,560463,560816,0.999370560041083,560463.0,10008.267857142857,56,51,0.9107142857142856,0.7
P78563_PF00035_80,107517,107710,0.9982081515179648,13847.953567713195,227.01563225759332,61,60,0.9836065573770492,0.7
P98175_PF00641_216,48355,48385,0.9993799731321692,5998.215095778285,230.70058060685716,26,25,0.9615384615384616,0.7
Q00987_PF00641_299,36576,36590,0.9996173817983056,8895.545666701695,306.7429540241964,29,25,0.8620689655172413,0.7
Q06187_PF00018_215,489382,489705,0.9993404192319866,13620.259257765225,230.8518518265292,59,52,0.8813559322033898,0.7
Q08881_PF00018_172,506805,507129,0.99936110930355,506805.0,8589.915254237289,59,53,0.8983050847457628,0.7
Q12929_PF00018_533,493663,493991,0.9993360202918676,14287.992534512716,246.3446988709089,58,52,0.896551724137931,0.7
Q12965_PF00018_1051,521225,521577,0.9993251236154967,521225.0,8986.637931034482,58,52,0.896551724137931,0.7
Q15811_PF00018_1003,509883,510221,0.9993375419671084,509883.0,8945.315789473685,57,51,0.8947368421052632,0.7
Q15811_PF00018_1156,522650,522991,0.9993479811316064,522650.0,9011.206896551725,58,52,0.896551724137931,0.7
Q15811_PF00018_909,457481,457804,0.9992944578902762,12653.896611044102,200.8555017626048,63,53,0.8412698412698413,0.7
Q15811_PF07653_1003,509883,510221,0.9993375419671084,509883.0,8945.315789473685,57,51,0.8947368421052632,0.7
Q2Q1W2_PF00643_274,117764,117935,0.9985500487556704,7192.401358241794,167.26514786608823,43,39,0.9069767441860463,0.7
Q5F1R6_PF12171_315,3968177,3972385,0.9989406867662626,3968177.0,158727.08,25,21,0.84,0.7
Q5HYK7_PF00018_664,515189,515535,0.9993288525512332,515189.0,9199.80357142857,56,51,0.9107142857142856,0.7
Q5VVJ2_PF00249_120,119185,119239,0.9995471280369678,7577.634372202839,176.22405516750788,43,43,1.0,0.7
Q6XZF7_PF00018_146,477206,477536,0.9993089526234672,13313.933410451427,218.2612034500234,61,54,0.8852459016393442,0.7
Q6XZF7_PF00018_1516,430111,430387,0.9993587166898628,12066.87526691074,204.5233096086566,59,51,0.864406779661017,0.7
Q6XZF7_PF00018_242,457935,458252,0.9993082408805636,12701.784318043718,201.615624095932,63,53,0.8412698412698413,0.7
Q6XZF7_PF14604_147,499728,500064,0.9993280860049912,13686.888005940138,231.9811526430532,59,53,0.8983050847457628,0.7
Q6ZN01_PF02037_170,49287,49356,0.9986019936785802,5577.681908834895,159.36234025242555,35,32,0.9142857142857144,0.7
Q6ZSG1_PF13639_293,277405,277605,0.9992795518812702,30802.029570025763,716.3262690703666,43,42,0.9767441860465116,0.7
Q7Z6B7_PF00018_744,498268,498609,0.9993160973829192,13579.98722613224,234.13771079538344,58,52,0.896551724137931,0.7
Q7Z6W7_PF00226_3,305109,305831,0.9976392190458128,39230.34952174754,612.9742112773054,64,64,1.0,0.7
Q86WN1_PF14604_467,383033,383285,0.9993425257967308,11494.47384446701,185.39473942688724,62,54,0.8709677419354839,0.7
Q8IWR0_PF00642_906,214731,214787,0.9997392765856408,13199.097771087852,628.5284652898978,21,20,0.9523809523809524,0.7
Q8IZT6_PF00612_1877,245974,246040,0.9997317509348074,8719.607119169437,458.92669048260194,19,17,0.8947368421052632,0.7
Q8N157_PF00018_1053,526151,526485,0.9993656039583274,526151.0,9230.719298245614,57,52,0.912280701754386,0.7
Q8NEZ5_PF00646_25,67182,67224,0.9993752231345948,12291.253830219594,307.28134575548984,40,35,0.875,0.7
Q8TAQ2_PF00249_599,175757,175841,0.9995222957103292,12919.18299116957,300.4461160737109,43,39,0.9069767441860463,0.7
Q8TAT5_PF00641_316,82461,82487,0.9996847988167832,7578.447082302914,252.6149027434305,30,26,0.8666666666666667,0.7
Q8WU90_PF18044_104,202497,202554,0.9997185935602356,13892.343084089744,661.5401468614164,21,20,0.9523809523809524,0.7
Q92922_PF00249_620,137389,137443,0.9996071098564496,10921.19473894571,248.2089713396752,44,40,0.9090909090909092,0.7
Q96DX7_PF00643_174,120670,120925,0.9978912549100682,7263.723088380745,161.4160686306832,45,42,0.9333333333333332,0.7
Q96GE6_PF13499_123,140675,141042,0.9973979382028048,14805.273171764577,214.56917640238515,69,66,0.9565217391304348,0.7
Q96GE6_PF13499_48,120139,120473,0.9972275945647572,12343.170601282824,162.4101394905635,76,71,0.9342105263157896,0.7
Q96GM8_PF00642_298,210666,210721,0.9997389913677328,12934.034619790858,562.3493312952547,23,21,0.9130434782608696,0.7
Q96K80_PF00642_138,184920,184976,0.9996972580226624,12458.446785435232,566.2930357016014,22,20,0.9090909090909092,0.7
Q99615_PF00226_382,290652,291324,0.9976932899452156,35318.96189152446,527.1486849481262,67,62,0.9253731343283582,0.7
Q9BV68_PF14369_11,40495,40516,0.9994816862474084,5181.703380137695,172.72344600458982,30,28,0.9333333333333332,0.7
Q9BY11_PF14604_387,502395,502728,0.9993376139781353,502395.0,8661.98275862069,58,53,0.913793103448276,0.7
Q9H000_PF00642_37,197315,197354,0.9998023855609716,10752.488617484089,565.9204535517941,19,19,1.0,0.7
