protein_name,msa_location,theta,weights_location,seed
A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2_theta_0.8_b0.7.a2m,0.2,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2_theta_0.8_b0.7.npy,1000
A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2_theta_0.8_b0.7.a2m,0.2,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2_theta_0.8_b0.7.npy,2000
A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2_theta_0.8_b0.7.a2m,0.2,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2_theta_0.8_b0.7.npy,3000
A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2_theta_0.8_b0.7.a2m,0.2,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2_theta_0.8_b0.7.npy,4000
A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2_theta_0.8_b0.7.a2m,0.2,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2_theta_0.8_b0.7.npy,5000
FEZF1_HUMAN_Beltran_2025_PF00096_289,FEZF1_HUMAN_Beltran_2025_PF00096_289_theta_0.8_b1.5.a2m,0.2,FEZF1_HUMAN_Beltran_2025_PF00096_289_theta_0.8_b1.5.npy,1000
FEZF1_HUMAN_Beltran_2025_PF00096_289,FEZF1_HUMAN_Beltran_2025_PF00096_289_theta_0.8_b1.5.a2m,0.2,FEZF1_HUMAN_Beltran_2025_PF00096_289_theta_0.8_b1.5.npy,2000
FEZF1_HUMAN_Beltran_2025_PF00096_289,FEZF1_HUMAN_Beltran_2025_PF00096_289_theta_0.8_b1.5.a2m,0.2,FEZF1_HUMAN_Beltran_2025_PF00096_289_theta_0.8_b1.5.npy,3000
FEZF1_HUMAN_Beltran_2025_PF00096_289,FEZF1_HUMAN_Beltran_2025_PF00096_289_theta_0.8_b1.5.a2m,0.2,FEZF1_HUMAN_Beltran_2025_PF00096_289_theta_0.8_b1.5.npy,4000
FEZF1_HUMAN_Beltran_2025_PF00096_289,FEZF1_HUMAN_Beltran_2025_PF00096_289_theta_0.8_b1.5.a2m,0.2,FEZF1_HUMAN_Beltran_2025_PF00096_289_theta_0.8_b1.5.npy,5000
SPD2B_HUMAN_Beltran_2025_PF00018_155,SPD2B_HUMAN_Beltran_2025_PF00018_155_theta_0.8_b0.9.a2m,0.2,SPD2B_HUMAN_Beltran_2025_PF00018_155_theta_0.8_b0.9.npy,1000
SPD2B_HUMAN_Beltran_2025_PF00018_155,SPD2B_HUMAN_Beltran_2025_PF00018_155_theta_0.8_b0.9.a2m,0.2,SPD2B_HUMAN_Beltran_2025_PF00018_155_theta_0.8_b0.9.npy,2000
