DMS_id,uniprot_id,pfam_id,start,end,mutation_start,mutation_end
A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2,,,,,2,71
FEZF1_HUMAN_Beltran_2025_PF00096_289,A0PJY2,PF00096,260.0,279.0,289,310
FEZF1_HUMAN_Beltran_2025_PF00096_289,A0PJY2,PF00096,288.0,310.0,289,310
FEZF1_HUMAN_Beltran_2025_PF00096_289,A0PJY2,PF00096,316.0,338.0,289,310
FEZF1_HUMAN_Beltran_2025_PF00096_289,A0PJY2,PF00096,344.0,366.0,289,310
FEZF1_HUMAN_Beltran_2025_PF00096_289,A0PJY2,PF00096,400.0,423.0,289,310
FEZF1_HUMAN_Beltran_2025_PF00096_289,A0PJY2,PF13912,372.0,396.0,289,310
SPD2B_HUMAN_Beltran_2025_PF00018_155,A1X283,PF00018,161.0,203.0,155,209
SPD2B_HUMAN_Beltran_2025_PF00018_155,A1X283,PF00018,228.0,272.0,155,209
SPD2B_HUMAN_Beltran_2025_PF00018_155,A1X283,PF00018,377.0,419.0,155,209
SPD2B_HUMAN_Beltran_2025_PF00018_155,A1X283,PF00787,33.0,124.0,155,209
SPD2B_HUMAN_Beltran_2025_PF00018_155,A1X283,PF07653,855.0,908.0,155,209
SPD2B_HUMAN_Beltran_2025_PF00018_222,A1X283,PF00018,161.0,203.0,222,280
SPD2B_HUMAN_Beltran_2025_PF00018_222,A1X283,PF00018,228.0,272.0,222,280
SPD2B_HUMAN_Beltran_2025_PF00018_222,A1X283,PF00018,377.0,419.0,222,280
SPD2B_HUMAN_Beltran_2025_PF00018_222,A1X283,PF00787,33.0,124.0,222,280
SPD2B_HUMAN_Beltran_2025_PF00018_222,A1X283,PF07653,855.0,908.0,222,280
A2RRE5_HUMAN_Beltran_2025_PF01846_267,A2RRE5,PF00071,159.0,247.0,267,329
A2RRE5_HUMAN_Beltran_2025_PF01846_267,A2RRE5,PF16512,261.0,340.0,267,329
A2RRE5_HUMAN_Beltran_2025_PF01846_267,A2RRE5,PF19518,558.0,740.0,267,329
A2RRE5_HUMAN_Beltran_2025_PF01846_267,A2RRE5,PF23083,431.0,485.0,267,329
ASB14_HUMAN_Beltran_2025_PF07525_532,A6NK59,PF07525,530.0,571.0,532,572
ASB14_HUMAN_Beltran_2025_PF07525_532,A6NK59,PF12796,61.0,148.0,532,572
ASB14_HUMAN_Beltran_2025_PF07525_532,A6NK59,PF12796,156.0,240.0,532,572
ASB14_HUMAN_Beltran_2025_PF07525_532,A6NK59,PF12796,253.0,341.0,532,572
ASB14_HUMAN_Beltran_2025_PF07525_532,A6NK59,PF12796,348.0,414.0,532,572
WWP2_HUMAN_Beltran_2025_PF00397_440,O00308,PF00397,302.0,331.0,440,493
WWP2_HUMAN_Beltran_2025_PF00397_440,O00308,PF00397,332.0,361.0,440,493
WWP2_HUMAN_Beltran_2025_PF00397_440,O00308,PF00397,407.0,435.0,440,493
WWP2_HUMAN_Beltran_2025_PF00397_440,O00308,PF00397,446.0,475.0,440,493
WWP2_HUMAN_Beltran_2025_PF00397_440,O00308,PF00632,566.0,868.0,440,493
ODPX_HUMAN_Beltran_2025_PF02817_181,O00330,PF00198,274.0,500.0,181,227
ODPX_HUMAN_Beltran_2025_PF02817_181,O00330,PF00364,59.0,129.0,181,227
