protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov
O00308_PF00397_440,59926,59958,0.9994662930718169,3660.8540178801677,67.79359292370681,54,40,0.7407407407407407
O95817_PF00397_11,66395,66425,0.9995483628152051,2303.0434112011244,47.00088594288009,49,35,0.7142857142857143
P16989_PF00313_84,215414,215789,0.9982621913072492,21756.617033033453,252.98391898876108,86,60,0.6976744186046512
P40040_PF02037_1,74384,74453,0.9990732408365008,16820.555681334237,343.27664655784156,49,35,0.7142857142857143
P46934_PF00397_836,73470,73487,0.9997686665668758,1463.2225907800228,31.809186756087453,46,33,0.717391304347826
P46937_PF00397_162,47513,47532,0.9996002692922663,2475.53482889539,49.5106965779078,50,35,0.7
P67809_PF00313_52,260048,260476,0.9983568543742993,22358.395313329584,245.6966517948306,91,65,0.7142857142857143
Q13526_PF00397_1,253456,253557,0.9996016674751633,12453.281171308598,311.3320292827149,40,30,0.75
Q6ZWJ1_PF00397_493,84779,84804,0.9997052025847838,1518.0694740869199,33.001510306237385,46,33,0.717391304347826
Q86UL8_PF00397_296,163452,163515,0.9996147142463994,4958.113038716189,110.18028974924866,45,32,0.7111111111111111
Q96PU5_PF00397_184,58754,58800,0.9992176870748299,5031.037612213877,102.67423698395667,49,35,0.7142857142857143
Q96PU5_PF00397_381,213121,213201,0.9996247672384276,5988.374369421704,136.0994174868569,44,32,0.7272727272727273
Q96PU5_PF00397_539,57311,57323,0.9997906599445249,1147.5736514620776,22.501444146315247,51,36,0.7058823529411765
Q96QZ7_PF00397_352,82976,83012,0.999566327759842,1607.8729204658691,32.157458409317385,50,35,0.7
Q9GZV5_PF00397_116,121199,121252,0.9995628938079372,4357.762944694285,92.71836052541032,47,34,0.723404255319149
Q9H0M0_PF00397_343,49692,49719,0.99945694804803,2930.947366901847,61.061403477121814,48,33,0.6875
Q9HAU4_PF00397_150,13294,13304,0.9992483463619964,879.6267938488653,17.951567221405416,49,35,0.7142857142857143
Q9P2P5_PF00397_800,173070,173139,0.999601476270511,5419.0950191247075,120.42433375832684,45,32,0.7111111111111111
