protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov
O14813_PF00046_92,171712,172081,0.9978556609968562,2426.017619409436,43.32174320373993,56,55,0.9821428571428571
O15266_PF00046_119,171711,172083,0.9978382524711912,2436.7506392385403,43.513404272116794,56,55,0.9821428571428571
O43186_PF00046_41,169850,170198,0.9979553226242377,2391.6677259000385,42.70835224821497,56,54,0.9642857142857143
O75360_PF00046_71,169736,170091,0.9979128819279092,2396.1718990164427,42.788783911007904,56,55,0.9821428571428571
O94929_PF00412_149,69858,69899,0.9994134393911215,1046.1022824776264,18.036246249614248,58,55,0.9482758620689655
O95076_PF00046_155,171306,171666,0.9979029044772989,2411.9938484978184,43.07131872317533,56,55,0.9821428571428571
P02417_PF01281_1,49393,49524,0.9973548178660852,6050.058412339287,128.72464707104868,47,45,0.9574468085106383
P02585_PF13499_1,19889,19968,0.9960436698717948,1533.2087408411578,18.472394467965756,83,71,0.8554216867469879
P0CI26_PF00643_87,29794,29904,0.9963215623327983,1680.672086841966,35.75898057110566,47,42,0.8936170212765957
P14653_PF00046_208,179860,180254,0.9978141955240938,2578.154031740599,48.644415693218846,53,53,1.0
P17480_PF00505_408,1739,1743,0.9977051061388411,24.481843377425292,0.3948684415713757,62,62,1.0
P20264_PF00046_408,23260,23301,0.9982404188661431,197.91161325657117,3.5341359510101995,56,56,1.0
P20265_PF00046_356,23260,23302,0.9981975796069007,197.99748173816033,3.535669316752863,56,56,1.0
P23759_PF00046_219,170523,170885,0.9978816162916582,2387.399404160566,42.632132217152964,56,55,0.9821428571428571
P26367_PF00046_213,173969,174326,0.9979521127083739,2349.0743303184454,42.71044236942628,55,54,0.9818181818181818
P28360_PF00046_174,176954,177366,0.9976771196283392,2302.37202247646,41.113786115651074,56,56,1.0
P32243_PF00046_40,169359,169704,0.9979670485079903,2347.978690912732,41.92819090915593,56,54,0.9642857142857143
P35548_PF00046_144,176934,177345,0.997682483295272,2303.03866059965,41.12569036785089,56,56,1.0
P39880_PF00046_1246,6889,6894,0.9992747316507108,56.870904010886775,1.015551857337264,56,56,1.0
P42766_PF00831_9,4208,4224,0.9962121212121212,276.0928304989963,5.019869645436296,55,55,1.0
P45973_PF00385_21,24330,24367,0.9984815529199327,2238.802340606447,45.68984368584586,49,46,0.9387755102040817
P49335_PF00046_280,23259,23300,0.9982403433476394,197.91121166257616,3.53412877968886,56,56,1.0
P54821_PF00046_96,169927,170282,0.9979152229830517,2415.2710517770465,43.1298402103044,56,55,0.9821428571428571
P56915_PF00046_162,174456,174826,0.9978836099893609,2450.902276884137,43.76611208721673,56,55,0.9821428571428571
P78424_PF00046_609,23280,23322,0.9981991252894263,215.93785851075523,3.9261428820137314,55,55,1.0
P98175_PF00641_214,34052,34077,0.9992663673445432,1944.6735416674137,69.45262648812192,28,25,0.8928571428571429
Q00839_PF02037_6,28749,28771,0.9992353411421223,1515.9042812383534,36.97327515215496,41,36,0.8780487804878049
Q12873_PF00628_374,96919,96956,0.999618383596683,2160.0749930515913,40.75613194436965,53,45,0.8490566037735849
Q12899_PF00643_97,29822,29908,0.997124515179885,1674.1981494667966,38.0499579424272,44,39,0.8863636363636364
Q13263_PF00628_620,63036,63062,0.999587707335638,1304.9481071555047,25.095155906836627,52,47,0.9038461538461539
Q13642_PF00412_160,25586,25603,0.9993360153107058,546.2133581820669,9.75380996753691,56,53,0.9464285714285714
Q13642_PF00412_99,10797,10803,0.9994445987225771,240.60773223456164,4.010128870576027,60,59,0.9833333333333333
Q14839_PF00628_365,94403,94437,0.9996399716212925,2189.3383124909037,41.30827004699818,53,45,0.8490566037735849
Q14839_PF00628_444,97114,97150,0.9996294390118373,2148.5291126237094,40.538285143843574,53,45,0.8490566037735849
Q15475_PF00046_131,54686,54747,0.9988857836959103,1229.2627073564727,24.585254147129454,50,46,0.92
Q15699_PF00046_134,168943,169292,0.9979384731706165,2343.626806679804,41.85047869071078,56,55,0.9821428571428571
Q15911_PF00046_2147,4357,4357,1.0,21.994477311650108,0.39275852342232337,56,56,1.0
Q15911_PF00046_2244,149739,149965,0.998492981695729,2167.895297959013,38.712416034982375,56,54,0.9642857142857143
Q15911_PF00046_2643,144619,144856,0.9983638924172972,2107.018386754923,37.62532833490934,56,56,1.0
Q1KMD3_PF02037_1,30027,30053,0.9991348617442518,1664.3823354874826,41.609558387187064,40,36,0.9
Q5SQQ9_PF00046_102,177041,177469,0.9975883111980121,2335.1517339117995,41.69913810556785,56,56,1.0
Q7Z4I7_PF00412_13,5013,5022,0.9982078853046595,72.9223933148406,1.2359727680481458,59,59,1.0
Q7Z6Z7_PF00627_1316,18604,18611,0.9996238783515126,923.3307997629773,22.520263408853104,41,38,0.926829268292683
Q86UP3_PF00046_2086,4357,4357,1.0,21.994359742440523,0.3927564239721522,56,56,1.0
Q86UP3_PF00046_2183,151701,151933,0.9984730111299059,2179.6948112497494,38.92312162945981,56,54,0.9642857142857143
Q86UP3_PF00046_2562,142156,142385,0.9983916845173297,2070.1122248758147,36.966289729925265,56,56,1.0
Q8IWT3_PF01485_2234,32120,32141,0.9993466289163374,3073.1607834413617,73.17049484384195,42,38,0.9047619047619048
Q8NFW5_PF00046_73,173300,173685,0.9977833434090451,2448.8493124864967,43.72945200868744,56,55,0.9821428571428571
Q8TDI0_PF00628_338,93818,93853,0.9996270763854113,2143.769914210627,40.44848894737032,53,45,0.8490566037735849
Q8TDI0_PF00628_411,97591,97627,0.9996312495518658,2148.575214541422,40.53915499134759,53,45,0.8490566037735849
Q96JY6_PF00412_284,7877,7887,0.9987320907823,79.8909729041849,1.426624516146159,56,53,0.9464285714285714
Q96QS3_PF00046_330,169228,169585,0.9978948609841672,2362.6697838258274,42.190531854032635,56,55,0.9821428571428571
Q9BZM3_PF00046_204,176520,176934,0.9976601444606463,2547.0841721991287,45.483645932127295,56,55,0.9821428571428571
Q9C030_PF00643_93,33190,33277,0.9973855816329597,1667.9730771783622,39.71364469472291,42,38,0.9047619047619048
Q9C0A1_PF00046_1859,147358,147596,0.9983874901758856,2114.4410171567874,37.757875306371204,56,56,1.0
Q9H161_PF00046_216,172123,172498,0.9978260617514406,2414.003499751926,43.10720535271297,56,55,0.9821428571428571
Q9NPC8_PF00046_131,54746,54806,0.9989052293544503,1238.2277342657676,24.764554685315353,50,46,0.92
Q9UBX0_PF00046_110,173872,174245,0.9978593359924245,2483.827586282401,44.354064040757166,56,55,0.9821428571428571
