protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov,bitscore
A1X283_PF00018_155,514408,514768,0.9993006558294222,514408.0,9352.872727272726,55,51,0.9272727272727272,0.7
A1X283_PF00018_222,503000,503356,0.9992927470815884,503000.0,8525.42372881356,59,51,0.864406779661017,0.7
O00330_PF02817_181,174292,174577,0.9983674825435196,19257.990191381585,409.744472157055,47,39,0.8297872340425532,0.7
O14813_PF00046_92,290088,290756,0.9977025409621814,5967.798353843101,106.56782774719822,56,56,1.0,0.7
O15151_PF00641_299,51648,51681,0.9993614674638648,5626.281693124572,181.4929578427281,31,26,0.8387096774193549,0.7
O15259_PF00018_152,495333,495671,0.9993180960758244,13913.282014838183,231.8880335806364,60,53,0.8833333333333333,0.7
O15266_PF00046_119,298587,299260,0.9977511194279222,6058.456138297667,108.18671675531547,56,56,1.0,0.7
O15344_PF00643_172,120249,120451,0.9983229695062724,7097.818872438422,165.06555517298656,43,39,0.9069767441860463,0.7
O15541_PF00642_198,180671,180719,0.9997343942806236,10687.86636941396,427.5146547765584,25,21,0.84,0.7
O43186_PF00046_41,293730,294385,0.9977750225045434,6238.607748154829,111.40370978847908,56,55,0.9821428571428572,0.7
O43295_PF00018_745,496290,496623,0.9993294712488144,13301.760993897857,229.3407067913423,58,51,0.8793103448275862,0.7
O43586_PF00018_361,539171,539528,0.9993383105232722,539171.0,9628.05357142857,56,51,0.9107142857142856,0.7
O60293_PF10650_1186,146494,146521,0.9998157260733956,7185.173792117554,378.1670416903976,19,18,0.9473684210526316,0.7
O75360_PF00046_71,291638,292313,0.9976908314033244,6042.114714781624,107.89490562110042,56,56,1.0,0.7
O75382_PF00643_111,111277,111436,0.9985731720449406,7000.78959622212,159.10885445959363,44,40,0.9090909090909092,0.7
O75808_PF00641_4,108178,108214,0.9996673258543256,11324.994391703953,419.444236729776,27,24,0.8888888888888888,0.7
O75953_PF00226_4,310281,311002,0.9976816869344892,38774.77981326008,625.3996744074207,62,62,1.0,0.7
O94929_PF00412_149,298559,298849,0.999029610271408,7525.9169818862865,129.757189342867,58,57,0.9827586206896552,0.7
O95076_PF00046_155,287999,288675,0.9976582662163332,5935.413066927343,105.98951905227398,56,56,1.0,0.7
O95793_PF00035_183,89965,90135,0.99811394020081,13861.61650337312,206.88979855780772,67,67,1.0,0.7
O95817_PF00397_11,110773,110826,0.9995217728691824,1908.1503835602305,38.94184456245368,49,38,0.7755102040816326,0.7
P00519_PF00018_64,449371,449663,0.99935062480124,13071.7624750586,229.32916622909823,57,52,0.912280701754386,0.7
P02417_PF01281_1,50851,50985,0.9973717760125528,6380.131345323252,135.7474754324096,47,45,0.9574468085106383,0.7
P02549_PF00018_979,515500,515842,0.9993370062926245,13951.939299328376,240.55067757462717,58,52,0.896551724137931,0.7
P02585_PF13499_1,97676,97938,0.9973248381629194,9939.124573946474,119.7484888427286,83,73,0.8795180722891566,0.7
P06239_PF00018_63,511861,512197,0.9993440024053244,14228.561873979266,245.3200323099873,58,52,0.896551724137931,0.7
P06241_PF00018_83,450829,451125,0.9993438625658077,12710.451705248955,208.3680607417862,61,54,0.8852459016393442,0.7
P07751_PF00018_968,515708,516038,0.9993605122103412,13524.390198963889,229.22695252481168,59,52,0.8813559322033898,0.7
P08631_PF00018_80,468266,468567,0.9993576158799062,13473.79930962082,232.3068846486348,58,52,0.896551724137931,0.7
P0A9X9_PF00313_3,121466,121807,0.9972004892986446,11921.170824765804,175.31133565832064,68,63,0.9264705882352942,0.7
P0CI26_PF00643_87,99556,99826,0.9972952938112316,6085.944997195084,129.48819142968262,47,43,0.9148936170212766,0.7
P10242_PF00249_40,170790,170938,0.9991341890042004,10891.464392333568,231.7332849432674,47,47,1.0,0.7
P11182_PF02817_171,176147,176429,0.9984016233158948,17475.57963334433,397.1722643941893,44,38,0.8636363636363636,0.7
P11961_PF02817_126,171172,171441,0.9984309470896692,19301.623571998884,402.1171577499768,48,42,0.875,0.7
P12931_PF00018_87,490510,490836,0.9993358270379517,13921.94507241985,244.24465039333072,57,52,0.912280701754386,0.7
P14598_PF00018_157,393374,393661,0.9992709463218352,11788.478018264805,178.61330330704246,66,56,0.8484848484848485,0.7
P14653_PF00046_208,285149,285748,0.9979037473578116,6087.204797180008,114.85292070150956,53,53,1.0,0.7
P15498_PF00018_782,486472,486792,0.9993426350474124,12473.3779602478,204.48160590570168,61,52,0.8524590163934426,0.7
P16885_PF00018_772,491321,491657,0.9993165967330884,13802.766925547989,246.4779808133569,56,52,0.9285714285714286,0.7
P17480_PF00505_408,123937,124195,0.9979226216836428,6654.201739696935,107.32583451124088,62,60,0.967741935483871,0.7
P19878_PF00018_241,508871,509217,0.999320525434147,13963.378688598972,232.7229781433162,60,53,0.8833333333333333,0.7
P19878_PF00018_456,498337,498671,0.9993302197240264,13215.458265460584,223.990818058654,59,52,0.8813559322033898,0.7
P20264_PF00046_408,288223,288882,0.9977187917558034,5898.836488064267,105.33636585829048,56,56,1.0,0.7
P20265_PF00046_356,287303,287955,0.9977357573231928,5866.565293887069,104.76009453369764,56,56,1.0,0.7
P20929_PF14604_6609,472263,472579,0.9993313287302228,13199.746554470868,216.38928777821093,61,53,0.8688524590163934,0.7
P23759_PF00046_219,296516,297189,0.9977354478126714,6090.377794704451,108.75674633400806,56,56,1.0,0.7
P25685_PF00226_4,310949,311670,0.9976866557576924,38962.025487708495,628.4197659307822,62,62,1.0,0.7
P26367_PF00046_213,288546,289190,0.9977730903558214,6109.270382773944,111.07764332316262,55,54,0.9818181818181818,0.7
P26651_PF00642_105,170975,171022,0.9997251815555892,11775.26287809643,471.0105151238572,25,23,0.92,0.7
P28360_PF00046_174,291924,292599,0.9976930884931254,5989.299523312657,106.95177720201173,56,56,1.0,0.7
P32081_PF00313_1,121063,121416,0.9970926401792184,11952.231904572924,178.391520963775,67,64,0.9552238805970148,0.7
P32243_PF00046_40,292349,292998,0.99778496781548,6215.6930400140445,110.99451857167936,56,55,0.9821428571428572,0.7
P35251_PF00533_405,98756,98989,0.9976462031134772,12769.36414432903,170.25818859105374,75,71,0.9466666666666668,0.7
P35548_PF00046_144,293017,293699,0.997677894715338,6015.664999031844,107.42258926842578,56,56,1.0,0.7
P39880_PF00046_1246,308164,308839,0.9978143952026785,6651.753733669823,118.78131667267542,56,56,1.0,0.7
P41016_PF00313_1,120197,120537,0.9971792893468396,11276.78491800873,170.86037754558683,66,64,0.9696969696969696,0.7
P42766_PF00831_9,31010,31160,0.995186136071887,5767.525308853867,104.86409652461576,55,53,0.9636363636363636,0.7
P45973_PF00385_21,46171,46244,0.998421416832454,6037.502047544648,123.21432750091118,49,46,0.9387755102040816,0.7
P46937_PF00397_162,127492,127549,0.9995531129213088,2095.413654422472,41.90827308844944,50,39,0.78,0.7
P47974_PF00642_193,171207,171251,0.9997430671937684,11402.581643868436,475.10756849451815,24,22,0.9166666666666666,0.7
P49335_PF00046_280,293466,294130,0.9977424948152176,6028.80557650474,107.65724243758464,56,56,1.0,0.7
P49792_PF00641_1414,80559,80591,0.9996029333300244,7176.707643927821,239.22358813092737,30,26,0.8666666666666667,0.7
P49792_PF00641_1478,72710,72745,0.9995188672761014,5972.529774901722,192.66225080328132,31,27,0.8709677419354839,0.7
P51451_PF00018_59,467734,468032,0.9993632913988788,13376.234202666445,226.71583394349904,59,52,0.8813559322033898,0.7
P53804_PF13639_1957,399162,399522,0.9990989232132398,39030.5011364415,951.9634423522316,41,41,1.0,0.7
P54821_PF00046_96,294814,295487,0.9977224040313112,6058.27322096664,108.18345037440427,56,56,1.0,0.7
P56915_PF00046_162,296205,296886,0.9977061902548452,6073.119411123899,108.44856091292677,56,56,1.0,0.7
P62993_PF00018_159,560463,560816,0.999370560041083,560463.0,10008.267857142857,56,51,0.9107142857142856,0.7
P78424_PF00046_609,299292,299947,0.9978162808762882,6276.87032882834,114.12491506960616,55,54,0.9818181818181818,0.7
P78563_PF00035_80,107517,107710,0.9982081515179648,13847.953567713195,227.01563225759332,61,60,0.9836065573770492,0.7
P98175_PF00641_214,42223,42253,0.9992899912432254,3659.378685815392,130.69209592197828,28,25,0.8928571428571429,0.7
P98175_PF00641_216,48355,48385,0.9993799731321692,5998.215095778285,230.70058060685716,26,25,0.9615384615384616,0.7
Q00839_PF02037_6,42686,42754,0.998409505543341,4655.667355238807,113.55286232289772,41,38,0.926829268292683,0.7
Q00987_PF00641_299,36576,36590,0.9996173817983056,8895.545666701695,306.7429540241964,29,25,0.8620689655172413,0.7
Q06187_PF00018_215,489382,489705,0.9993404192319866,13620.259257765225,230.8518518265292,59,52,0.8813559322033898,0.7
Q08881_PF00018_172,506805,507129,0.99936110930355,506805.0,8589.915254237289,59,53,0.8983050847457628,0.7
Q12873_PF00628_374,187085,187182,0.9994817877787394,6086.616000449401,114.841811329234,53,48,0.9056603773584906,0.7
Q12899_PF00643_97,104302,104541,0.9977138156321445,6190.118956447976,140.684521737454,44,41,0.9318181818181818,0.7
Q12929_PF00018_533,493663,493991,0.9993360202918676,14287.992534512716,246.3446988709089,58,52,0.896551724137931,0.7
Q12965_PF00018_1051,521225,521577,0.9993251236154967,521225.0,8986.637931034482,58,52,0.896551724137931,0.7
Q13263_PF00628_620,188341,188437,0.9994905459118962,5961.723714597861,114.64853297303578,52,46,0.8846153846153846,0.7
Q13642_PF00412_160,299740,300012,0.9990933695985494,7374.169515899935,131.68159849821313,56,53,0.9464285714285714,0.7
Q14839_PF00628_365,184162,184262,0.999457294504564,6105.860804433878,115.20492083837506,53,48,0.9056603773584906,0.7
Q14839_PF00628_444,184185,184284,0.999462785700332,6110.035935402847,115.28369689439334,53,48,0.9056603773584906,0.7
Q15475_PF00046_131,173008,173190,0.9989491310121832,5009.328427531581,100.18656855063162,50,48,0.96,0.7
