protein,num_seqs,num_seqs_unfiltered,perc_filtered,n_eff,n_eff_l,seq_len,num_cov,perc_cov,bitscore
A0PJY2_PF00096_289,1738850,1740971,0.9987817143421688,18757.11008981274,852.5959131733064,22,21,0.9545454545454546,1.2
A1X283_PF00018_155,514408,514768,0.9993006558294222,14420.975246192294,262.19954993076897,55,49,0.8909090909090909,0.7
A1X283_PF00018_222,503000,503356,0.9992927470815884,14439.386755221492,244.73536873256768,59,50,0.847457627118644,0.7
O00330_PF02817_181,123402,123553,0.9987778524196094,11312.78361912486,240.6975238111672,47,37,0.7872340425531915,0.9
O14901_PF00096_395,100762,100808,0.9995436870089676,1645.2165504401505,68.55068960167294,24,21,0.875,1.2
O15151_PF00641_299,51648,51681,0.9993614674638648,5942.75290222014,191.7017065232303,31,25,0.8064516129032258,0.7
O15259_PF00018_152,166708,166807,0.9994064997272296,5318.991756302339,88.64986260503899,60,51,0.85,0.9
O15344_PF00643_172,120249,120451,0.9983229695062724,6874.171569779192,159.864455111144,43,37,0.8604651162790697,0.7
O15541_PF00642_198,48580,48593,0.9997324717551912,3149.098377157416,125.96393508629664,25,20,0.8,0.9
O43167_PF00096_351,1304838,1305716,0.9993275719988114,27895.62852531915,1267.983114787234,22,21,0.9545454545454546,1.2
O43167_PF00096_435,1902536,1904347,0.9990490178523136,30654.037256144995,1393.3653298247723,22,21,0.9545454545454546,1.2
O43295_PF00018_745,318520,318707,0.9994132541801718,7183.129454623433,123.84705956247298,58,51,0.8793103448275862,0.9
O43586_PF00018_361,347521,347729,0.9994018330366464,9005.750391303487,160.81697127327655,56,50,0.8928571428571429,0.9
O60281_PF00096_808,2007,2007,1.0,99.85969698056591,4.16082070752358,24,24,1.0,1.2
O60293_PF10650_1186,46128,46134,0.9998699440759526,2512.214940489332,132.22183897312274,19,18,0.9473684210526316,0.9
O60481_PF00096_389,1728409,1730059,0.9990462753004378,26039.98948897379,1183.635885862445,22,21,0.9545454545454546,1.2
O75400_PF00397_176,23744,23767,0.999032271637144,1056.3529884018176,20.712803694153287,51,37,0.7254901960784313,0.7
O75808_PF00641_4,38553,38562,0.999766609615684,3246.6847728420576,120.24758417933546,27,22,0.8148148148148148,0.9
O75953_PF00226_4,218477,218981,0.9976984304574368,19072.781742567888,307.6255119769014,62,62,1.0,1.1
O95793_PF00035_183,89971,90135,0.998180507017252,13579.015278964343,202.6718698352887,67,61,0.9104477611940298,0.7
P00519_PF00018_64,449376,449663,0.999361744239575,13539.757932133249,237.53961284444296,57,50,0.8771929824561403,0.7
P02549_PF00018_979,232597,232726,0.9994457000936724,6602.241937086576,113.83175753597546,58,50,0.8620689655172413,0.9
P06239_PF00018_63,109304,109382,0.9992869027810792,3474.15390177083,59.89920520294535,58,50,0.8620689655172413,0.9
P06241_PF00018_83,450833,451125,0.9993527292878914,12136.055171436636,198.9517241219121,61,51,0.8360655737704918,0.7
P07751_PF00018_968,190727,190820,0.9995126297033854,4821.831746378526,81.72596180302587,59,51,0.864406779661017,0.9
P08151_PF00096_363,23185,23194,0.9996119686125722,294.95734469021266,11.798293787608507,25,22,0.88,1.2
P08631_PF00018_80,468267,468567,0.999359750046418,13506.027220724734,232.86253828835748,58,49,0.8448275862068966,0.7
P0A9X9_PF00313_3,121466,121807,0.9972004892986446,11475.301277767468,168.75443055540396,68,62,0.9117647058823528,0.7
P10070_PF00096_565,23326,23335,0.9996143132633384,298.6792084905097,11.947168339620388,25,22,0.88,1.2
P10071_PF00096_608,23838,23847,0.9996225940369858,412.0263903191412,16.481055612765648,25,23,0.92,1.2
P10242_PF00249_40,95150,95218,0.9992858493142052,5997.502459532492,127.60643530920196,47,46,0.9787234042553192,0.9
P11182_PF02817_171,74326,74400,0.999005376344086,5335.916463320304,121.27082871182508,44,38,0.8636363636363636,1.1
P11961_PF02817_126,76497,76595,0.9987205431163914,6428.915849477486,133.9357468641143,48,41,0.8541666666666666,1.1
