DMS_index,DMS_ID,MSA_num_seqs,MSA_Neff_L,MSA_depth,MSA_start,MSA_end,seq_len,number of mutants,Site_Independent,EVmutation,EVE_ensemble,MSA_Transformer_ensemble,ESM2_650M,GEMME,VespaG,Tranception_L_no_retrieval,Tranception_L,ESM-IF1_142M,ProteinMPNN,SaProt_650M_AF2,PoET,ESCOTT,VenusREM,ProSST-2048,RSALOR,ESM3_1.4B_open,Progen3_3B,AIDO.Protein-RAG-16B
DMS_sub_257,A0A2R8Y422_HUMAN_Beltran_2025_PF00240_2,61559,84.70113975759325,Medium,1,70,70,1300,0.24013405477263436,0.15211780958799104,0.25849941193496934,0.1097598701355627,0.10737605807413542,0.22497856230450428,0.23937194682909918,0.13529783517850968,0.20529011328044938,0.21812440762937185,0.253262285498849,0.08555137697623581,0.21439167351350732,0.20002725296233145,0.1290027035518956,0.13419259465196773,0.28887993288759334,0.21412680154383884,0.10069394956951129,0.21649791738219687
DMS_sub_258,FEZF1_HUMAN_Beltran_2025_PF00096_289,645870,82.43040801940954,Medium,1,22,22,413,0.2527169947374673,0.250032597937287,0.2389224197340237,0.24025932213610635,0.19946351021109018,0.17724807255473493,0.16397433761550784,0.18004245720295547,0.2153163116131114,0.16281444716885546,0.27524716449457637,0.11121337589274428,0.2687843823451353,0.2193766042508568,0.20877176306414136,0.2015569003856989,0.31128118984758224,0.22214860394957045,0.2613777093211311,0.18737301718576974
DMS_sub_259,SPD2B_HUMAN_Beltran_2025_PF00018_155,33216,13.12512789820724,Medium,1,55,55,1026,0.5679445833915128,0.5989385195538537,0.5726148672929948,0.5558551882607642,0.5548423133639329,0.5964351481502385,0.6357482435599336,0.537339529603732,0.6225670704701995,0.662096690312599,0.549600097740414,0.6929070030628681,0.6100378777436247,0.5999751808257854,0.6552616221832142,0.6639593579427,0.5984282422389887,0.6782891962357971,0.5191130063514825,0.678635290226043
DMS_sub_260,SPD2B_HUMAN_Beltran_2025_PF00018_222,45592,16.06283841914899,Medium,1,59,59,1076,0.4258755475497803,0.44827907238886094,0.5213086040371957,0.4805091782356983,0.42767969693670227,0.45305102816872006,0.4785676063788595,0.41524254797105564,0.4996586027904211,0.5469014196659328,0.4803776554835855,0.5865211429524013,0.5049505449293534,0.4621078696434091,0.5003767489560121,0.5113483512978563,0.4865406973853808,0.5496065742395143,0.3814864849719509,0.595241899839843
DMS_sub_261,A2RRE5_HUMAN_Beltran_2025_PF01846_267,4543,2.042929798890722,Medium,1,63,63,1179,0.5504813584871412,0.5618535091761444,0.5776262043661613,0.49985906367799454,0.5131188062413911,0.5471329381667216,0.6669701940350375,0.25751387068568055,0.5853790477726181,0.7673398593224802,0.6370643880480588,0.7557966090634707,0.5854922742360761,0.5802354865540407,0.7372947635118392,0.7055312643089614,0.6079698020702522,0.7762759272717371,0.3445390440055714,0.700809668095704
DMS_sub_262,ASB14_HUMAN_Beltran_2025_PF07525_532,29746,52.97858669168165,Medium,1,41,41,689,0.22616131845560108,0.19927064110429032,0.26035832386472724,0.15106404899827117,0.22448510789819484,0.23825265993377923,0.2937922085004776,0.11247584402142302,0.21734493664741414,0.21253917032951652,0.14159954368150007,0.30751434247828285,0.23218297404017604,0.26284840122318653,0.29302810669802815,0.29587535539360094,0.3019508381883019,0.25597097328413454,0.3758297837119909,0.3037154239032011
DMS_sub_263,WWP2_HUMAN_Beltran_2025_PF00397_440,59958,67.79359292370681,Medium,1,54,54,1013,0.25919971943646847,0.3628821934058791,0.7160607929969652,0.6144003016749705,0.7132150622295101,0.6769358710045108,0.6968901921513592,0.5653358855094955,0.5598178279272242,0.5634091490524088,0.4404193184916511,0.6637083407427266,0.7026870411902991,0.6687431619249204,0.6564976788768533,0.6447362880350432,0.6473048827295407,0.6533620974454585,0.6141947448511711,0.6769175147954333
DMS_sub_264,ODPX_HUMAN_Beltran_2025_PF02817_181,1448,0.8263634268540239,Low,1,47,47,884,0.27379439046249926,0.23330641495789156,0.2641726449010494,0.2537174607373975,0.3484194684871251,0.30252536664965785,0.41574782577956515,0.30923094467794454,0.3413182353801041,0.5151023104569035,0.4824809631018213,0.4653088039653146,0.32130561881738695,0.35829536722014316,0.3783465007017452,0.40744479689253515,0.41290493187201915,0.5046245944878033,0.2467551435770222,0.42651533148274845
DMS_sub_265,CUX2_HUMAN_Beltran_2025_PF02376_1036,24608,2.004796644114986,Medium,1,89,89,1659,0.47663502976387545,0.544110827710885,0.4791431825231446,0.5176165378843923,0.5050396628812956,0.5022852671614254,0.5067416349985994,0.35717919886842225,0.4806269417663206,0.671641494157486,0.5745500033172892,0.5698903235073097,0.5343258165026816,0.5604899910515051,0.5668437249552745,0.5538552313313266,0.5957799372380607,0.6729446667476132,0.2609000590870959,0.6127886096471853
DMS_sub_266,CUX2_HUMAN_Beltran_2025_PF02376_895,24769,2.613064302720149,Medium,1,69,69,1283,0.4403078394460053,0.4644339223629561,0.4556900028799025,0.4026954114859492,0.40653224156768786,0.433421134035848,0.38965753035732137,0.08162918785044454,0.2868351718200962,0.445107003685686,0.4600308903573287,0.4129146037996931,0.3790865662473581,0.43979242277438313,0.40632856160807973,0.379645765284883,0.4600330210648209,0.49087350679957803,0.066179946575127,0.4856975736817908
DMS_sub_267,DVL1_HUMAN_Beltran_2025_PF00595_246,592516,75.58975178547277,Medium,1,93,93,1187,0.46395232867596387,0.42759448791464877,0.5308770856767425,0.5062743724052209,0.35989705720395637,0.46032479144076577,0.4667428767682566,0.3482365837575585,0.45081065654370533,0.4321996153656381,0.3366348781645644,0.3902255488217836,0.5279336090650993,0.4610466924619836,0.4356839675864348,0.4360760837451275,0.4525995086765015,0.4478319984585636,0.3457071043735319,0.5152174008932775
DMS_sub_268,DVL1_HUMAN_Beltran_2025_PF00778_4,13362,3.365480889050912,Medium,1,78,78,1425,0.47324228035264904,0.4322656778083182,0.3877901851401962,0.33166538937542206,0.42298955829595997,0.3853598214213073,0.4114312112364163,0.33289499119127913,0.46480933406546066,0.5506078776536117,0.5027754051196007,0.3284799894685419,0.3694797611373793,0.4420025917145289,0.5219032346060418,0.5505905244189001,0.5372245070478687,0.52735415042778,0.28854608966434653,0.5412344609079349
DMS_sub_269,TCRG1_HUMAN_Beltran_2025_PF01846_645,11998,3.443567190565465,Medium,1,69,69,1299,0.5065631234032107,0.46109874098913356,0.6158375173645687,0.43231668222688513,0.6009265147125326,0.5344857556504146,0.632007360945324,0.25911151079858435,0.5081465869545623,0.5802675099320128,0.4605567009260917,0.5345877412488702,0.5171579388670409,0.5435883581754921,0.5766346582599776,0.5874827755937607,0.6071275240013482,0.6169494760508145,0.42600350112682817,0.6210301220408261
DMS_sub_270,TCRG1_HUMAN_Beltran_2025_PF01846_727,18932,13.487320832340014,Medium,1,50,50,922,0.5984521435691631,0.5477401793604505,0.5999063641895395,0.5319912523075152,0.5099717027375162,0.6198009181093901,0.5764833964030331,0.18672034217100555,0.6124370428482456,0.665780962665225,0.4346407646914454,0.6170037706015852,0.550631233949323,0.6215209552589485,0.6161504023513601,0.5931584454973526,0.6738500536363529,0.6632088244155162,0.4185032651201266,0.6909277162563697
DMS_sub_271,TCRG1_HUMAN_Beltran_2025_PF01846_793,18650,12.787010626677588,Medium,1,62,62,1164,0.542957341972552,0.5990746802726287,0.6955067869262805,0.5249965084599891,0.645743096537743,0.6433502414341387,0.6390632164861713,0.14818073740488052,0.6274115558530776,0.6617048766627521,0.6017702425594826,0.6647816548191451,0.6053189471967659,0.6808398891687593,0.7064399976518896,0.6625465822417176,0.7188524951350816,0.7042115158334685,0.5326883227215817,0.7161461778645385
DMS_sub_272,TCRG1_HUMAN_Beltran_2025_PF01846_897,4874,4.474825139554961,Medium,1,59,59,1064,0.5701916958339394,0.5137436068266032,0.5986647328575475,0.4843061836882561,0.5340166761822607,0.5259996710625187,0.5999595732537524,0.1997468994787659,0.5837893728664006,0.6400432034203697,0.5555273342063937,0.6409117376935773,0.5219184593125918,0.5378262388857019,0.6554452342999055,0.6521439674338549,0.6153442283204887,0.7248999777038052,0.35106223816135407,0.6424986424151546
DMS_sub_273,TCRG1_HUMAN_Beltran_2025_PF01846_955,4582,5.143388985149117,Medium,1,56,56,1003,0.3158951755764225,0.29001415328273616,0.22204420562293004,0.24032596496046293,0.48905878570867256,0.3289907844932913,0.404473830704637,0.1604589826951095,0.33243314620095615,0.5032047120573477,0.38012671973882417,0.4875119193439513,0.32002407740329253,0.38669888889170695,0.3902337204368464,0.3911113273725361,0.5025683941526482,0.5319004644600768,0.2855413698390203,0.4533819547705468
DMS_sub_274,PHX2A_HUMAN_Beltran_2025_PF00046_92,236140,79.73398131365522,Medium,1,56,56,1024,0.4521442201814268,0.4084999273866183,0.4282490955761211,0.480390978382467,0.5073388172657837,0.36906619589146045,0.41495579495988916,0.45311169079105035,0.5009546172622515,0.6732257990376771,0.5711933302964364,0.3132202482007962,0.44893069290725657,0.3945072651667657,0.4813706393983649,0.46348145603710356,0.5926479467294691,0.47762600169632835,0.5130750955344393,0.5951385493943067
DMS_sub_275,KLF11_HUMAN_Beltran_2025_PF00096_395,100808,68.55068960167294,Medium,1,24,24,449,0.4441143784101922,0.4055574616828618,0.4480784964437484,0.37860059391239786,0.5224737511931274,0.29481148043614547,0.4525824583731042,0.4284741223883762,0.46492814720543,0.5174283632088627,0.48606692120055145,0.32959088980803897,0.4060051437055891,0.3330334297709309,0.44059987803584677,0.4739378513097888,0.4204212556327199,0.5465385453765835,0.32819877505567924,0.45080494194820797
